db	term_id	term_name	set_label	M_universe	N_set_bg	n_genes_raw	n_genes_bg	in_size_range	tested	n_overlap	p_value	FDR	overlap_genes
GO_BP	'De Novo' AMP Biosynthetic Process (GO:0044208)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	6	6	FALSE	FALSE	0	NA	NA	
GO_BP	'De Novo' Post-Translational Protein Folding (GO:0051084)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	32	30	TRUE	TRUE	0	1	1	
GO_BP	2-Oxoglutarate Metabolic Process (GO:0006103)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	14	13	TRUE	TRUE	0	1	1	
GO_BP	3'-UTR-mediated mRNA Destabilization (GO:0061158)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	15	15	TRUE	TRUE	0	1	1	
GO_BP	3'-UTR-mediated mRNA Stabilization (GO:0070935)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	18	14	TRUE	TRUE	0	1	1	
GO_BP	3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	15	14	TRUE	TRUE	0	1	1	
GO_BP	5S Class rRNA Transcription By RNA Polymerase III (GO:0042791)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	5	FALSE	FALSE	0	NA	NA	
GO_BP	7-Methylguanosine RNA Capping (GO:0009452)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	5	FALSE	FALSE	0	NA	NA	
GO_BP	7-Methylguanosine Cap Hypermethylation (GO:0036261)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	7	7	FALSE	FALSE	0	NA	NA	
GO_BP	7-Methylguanosine mRNA Capping (GO:0006370)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	6	5	FALSE	FALSE	0	NA	NA	
GO_BP	ADP Transport (GO:0015866)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	7	6	FALSE	FALSE	0	NA	NA	
GO_BP	AMP Biosynthetic Process (GO:0006167)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	8	8	FALSE	FALSE	0	NA	NA	
GO_BP	AMP Metabolic Process (GO:0046033)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	11	11	TRUE	TRUE	0	1	1	
GO_BP	ATF6-mediated Unfolded Protein Response (GO:0036500)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	6	5	FALSE	FALSE	0	NA	NA	
GO_BP	ATP Biosynthetic Process (GO:0006754)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	25	23	TRUE	TRUE	0	1	1	
GO_BP	ATP Metabolic Process (GO:0046034)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	34	34	TRUE	TRUE	0	1	1	
GO_BP	ATP Synthesis Coupled Electron Transport (GO:0042773)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	7	5	FALSE	FALSE	0	NA	NA	
GO_BP	ATP Transport (GO:0015867)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	13	12	TRUE	TRUE	0	1	1	
GO_BP	AV Node Cell Action Potential (GO:0086016)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	6	6	FALSE	FALSE	0	NA	NA	
GO_BP	AV Node Cell To Bundle Of His Cell Communication (GO:0086067)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	6	6	FALSE	FALSE	0	NA	NA	
GO_BP	Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	19	13	TRUE	TRUE	0	1	1	
GO_BP	B Cell Activation (GO:0042113)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	92	86	TRUE	TRUE	0	1	1	
GO_BP	B Cell Activation Involved In Immune Response (GO:0002312)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	16	15	TRUE	TRUE	0	1	1	
GO_BP	B Cell Chemotaxis (GO:0035754)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	5	FALSE	FALSE	0	NA	NA	
GO_BP	B Cell Differentiation (GO:0030183)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	68	66	TRUE	TRUE	0	1	1	
GO_BP	B Cell Homeostasis (GO:0001782)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	9	8	FALSE	FALSE	0	NA	NA	
GO_BP	B Cell Mediated Immunity (GO:0019724)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	15	12	TRUE	TRUE	0	1	1	
GO_BP	B Cell Proliferation (GO:0042100)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	31	30	TRUE	TRUE	0	1	1	
GO_BP	B Cell Receptor Signaling Pathway (GO:0050853)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	46	31	TRUE	TRUE	1	0.0325439218105813	1	BLK
GO_BP	BMP Signaling Pathway (GO:0030509)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	61	56	TRUE	TRUE	0	1	1	
GO_BP	C-terminal Protein Amino Acid Modification (GO:0018410)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	12	12	TRUE	TRUE	0	1	1	
GO_BP	C-terminal Protein Deglutamylation (GO:0035609)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	5	FALSE	FALSE	0	NA	NA	
GO_BP	C-terminal Protein Lipidation (GO:0006501)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	5	FALSE	FALSE	0	NA	NA	
GO_BP	C4-dicarboxylate Transport (GO:0015740)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	12	12	TRUE	TRUE	0	1	1	
GO_BP	CD4-positive, Alpha-Beta T Cell Activation (GO:0035710)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	5	FALSE	FALSE	0	NA	NA	
GO_BP	CD40 Signaling Pathway (GO:0023035)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	8	6	FALSE	FALSE	0	NA	NA	
GO_BP	CENP-A Containing Chromatin Assembly (GO:0034080)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	6	5	FALSE	FALSE	0	NA	NA	
GO_BP	COPI Coating Of Golgi Vesicle (GO:0048205)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	5	FALSE	FALSE	0	NA	NA	
GO_BP	COPI-coated Vesicle Budding (GO:0035964)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	5	FALSE	FALSE	0	NA	NA	
GO_BP	COPII Vesicle Coating (GO:0048208)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	19	17	TRUE	TRUE	0	1	1	
GO_BP	COPII-coated Vesicle Budding (GO:0090114)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	36	34	TRUE	TRUE	0	1	1	
GO_BP	COPII-coated Vesicle Cargo Loading (GO:0090110)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	14	14	TRUE	TRUE	0	1	1	
GO_BP	CRD-mediated mRNA Stabilization (GO:0070934)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	10	10	TRUE	TRUE	0	1	1	
GO_BP	Cdc42 Protein Signal Transduction (GO:0032488)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	8	7	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Alkylation (GO:0006305)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	15	13	TRUE	TRUE	0	1	1	
GO_BP	DNA Biosynthetic Process (GO:0071897)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	17	16	TRUE	TRUE	0	1	1	
GO_BP	DNA Catabolic Process (GO:0006308)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	19	17	TRUE	TRUE	0	1	1	
GO_BP	DNA Conformation Change (GO:0071103)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	12	11	TRUE	TRUE	0	1	1	
GO_BP	DNA Cytosine Deamination (GO:0070383)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	8	8	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Damage Checkpoint Signaling (GO:0000077)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	34	33	TRUE	TRUE	0	1	1	
GO_BP	DNA Damage Response (GO:0006974)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	384	359	TRUE	TRUE	1	0.320721637488391	1	MACROD2
GO_BP	DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	36	33	TRUE	TRUE	0	1	1	
GO_BP	DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	17	17	TRUE	TRUE	0	1	1	
GO_BP	DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:0006978)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	8	6	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Damage Response, Signal Transduction Resulting In Transcription (GO:0042772)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	9	7	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Dealkylation (GO:0035510)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	7	7	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Dealkylation Involved In DNA Repair (GO:0006307)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	7	7	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Deamination (GO:0045006)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	12	12	TRUE	TRUE	0	1	1	
GO_BP	DNA Double-Strand Break Processing (GO:0000729)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	15	14	TRUE	TRUE	0	1	1	
GO_BP	DNA Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing (GO:0010792)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	4	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Duplex Unwinding (GO:0032508)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	41	39	TRUE	TRUE	0	1	1	
GO_BP	DNA Geometric Change (GO:0032392)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	30	27	TRUE	TRUE	0	1	1	
GO_BP	DNA Integrity Checkpoint Signaling (GO:0031570)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	42	41	TRUE	TRUE	0	1	1	
GO_BP	DNA Ligation (GO:0006266)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	7	7	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Metabolic Process (GO:0006259)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	288	276	TRUE	TRUE	0	1	1	
GO_BP	DNA Methylation (GO:0006306)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	20	17	TRUE	TRUE	0	1	1	
GO_BP	DNA Methylation Involved In Embryo Development (GO:0043045)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	5	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Methylation-Dependent Heterochromatin Formation (GO:0006346)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	11	8	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Modification (GO:0006304)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	17	17	TRUE	TRUE	0	1	1	
GO_BP	DNA Recombination (GO:0006310)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	42	41	TRUE	TRUE	0	1	1	
GO_BP	DNA Repair (GO:0006281)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	291	274	TRUE	TRUE	0	1	1	
GO_BP	DNA Repair-Dependent Chromatin Remodeling (GO:0140861)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	16	15	TRUE	TRUE	0	1	1	
GO_BP	DNA Replication (GO:0006260)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	73	71	TRUE	TRUE	0	1	1	
GO_BP	DNA Replication Checkpoint Signaling (GO:0000076)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	17	17	TRUE	TRUE	0	1	1	
GO_BP	DNA Replication Initiation (GO:0006270)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	21	18	TRUE	TRUE	0	1	1	
GO_BP	DNA Replication-Dependent Chromatin Assembly (GO:0006335)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	5	5	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Strand Elongation (GO:0022616)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	12	11	TRUE	TRUE	0	1	1	
GO_BP	DNA Strand Elongation Involved In DNA Replication (GO:0006271)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	12	11	TRUE	TRUE	0	1	1	
GO_BP	DNA Strand Resection Involved In Replication Fork Processing (GO:0110025)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	6	6	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Synthesis Involved In DNA Repair (GO:0000731)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	27	26	TRUE	TRUE	0	1	1	
GO_BP	DNA Topological Change (GO:0006265)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	8	8	FALSE	FALSE	0	NA	NA	
GO_BP	DNA Unwinding Involved In DNA Replication (GO:0006268)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	20	20	TRUE	TRUE	0	1	1	
GO_BP	DNA-templated DNA Replication (GO:0006261)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	69	66	TRUE	TRUE	0	1	1	
GO_BP	DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	43	42	TRUE	TRUE	0	1	1	
GO_BP	DNA-templated Transcription (GO:0006351)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	199	189	TRUE	TRUE	0	1	1	
GO_BP	DNA-templated Transcription Elongation (GO:0006354)	MSigDB_GO_Biological_Process_2023	robust_core19	17827	19	26	26	TRUE	TRUE	0	1	1	
