gene_symbol	ENTREZ_ID	is_coreseed	is_magma_sig	in_setA	P_meta	Q_meta	P_meta	GWAS_Grade	Q_gwas1	Q_gwas2
MACROD2	140733	FALSE	TRUE	TRUE	6.51E-09	8.89E-05	6.51E-09	A+	0.463925	0.00777953
XRN2	22803	FALSE	TRUE	TRUE	9.92E-09	8.89E-05	9.92E-09	A+	0.760527	0.000141709
NKX2-4	644524	FALSE	TRUE	TRUE	2.66E-08	0.000123741	2.66E-08	A+	0.763592	0.000165983
KIZ	55857	FALSE	TRUE	TRUE	2.76E-08	0.000123741	2.76E-08	A+	0.757781	0.000165983
NTM	50863	FALSE	TRUE	TRUE	1.57E-07	0.000562074	1.57E-07	A+	0.693147	0.00740389
BLK	640	FALSE	TRUE	TRUE	6.14E-07	0.00183373	6.14E-07	A+	0.617332	0.0293467
SOX7	83595	FALSE	TRUE	TRUE	7.79E-07	0.00199487	7.79E-07	A+	0.621861	0.0293467
MFHAS1	9258	FALSE	TRUE	TRUE	1.49E-06	0.0031704	1.49E-06	A+	0.71452	0.0278903
WDPCP	51057	FALSE	TRUE	TRUE	1.59E-06	0.0031704	1.59E-06	A+	0.463925	0.128701
CRHR1	1394	FALSE	TRUE	TRUE	2.12E-06	0.00379864	2.12E-06	A+	0.71452	0.0293467
ATXN1-AS1	101928433	FALSE	TRUE	TRUE	3.22E-06	0.00524646	3.22E-06	A+	0.716561	0.0321104
CUEDC2	79004	FALSE	TRUE	TRUE	3.90E-06	0.00549109	3.90E-06	A+	0.525929	0.119163
PKP4	8502	FALSE	TRUE	TRUE	3.98E-06	0.00549109	3.98E-06	A+	0.617332	0.0996214
MSRA	4482	FALSE	TRUE	TRUE	4.70E-06	0.00601348	4.70E-06	A+	0.666655	0.0937076
MMP12	4321	FALSE	TRUE	TRUE	5.90E-06	0.00705008	5.90E-06	A+	0.79135	0.0233149
PINX1	54984	FALSE	TRUE	TRUE	8.75E-06	0.00980651	8.75E-06	A+	0.681805	0.101443
RP1L1	94137	FALSE	TRUE	TRUE	9.53E-06	0.0099563	9.53E-06	A+	0.547802	0.128701
ADTRP	84830	FALSE	TRUE	TRUE	1.00E-05	0.0099563	1.00E-05	A+	0.527797	0.128701
XKR6	286046	FALSE	TRUE	TRUE	1.07E-05	0.0101143	1.07E-05	A+	0.71452	0.099477
NSF	4905	FALSE	TRUE	TRUE	1.14E-05	0.0101897	1.14E-05	A+	0.71972	0.075585
MDH1	4190	FALSE	TRUE	TRUE	1.20E-05	0.0102815	1.20E-05	A+	0.582444	0.128701
FAM167A	83648	FALSE	TRUE	TRUE	1.54E-05	0.0120975	1.54E-05	A+	0.61726	0.137702
USP7	7874	FALSE	TRUE	TRUE	1.55E-05	0.0120975	1.55E-05	A+	0.463925	0.174597
WNT3	7473	FALSE	TRUE	TRUE	1.73E-05	0.0129377	1.73E-05	A+	0.79135	0.0338774
CSPG5	10675	FALSE	TRUE	TRUE	2.02E-05	0.0145199	2.02E-05	A+	0.463925	0.231978
C10orf95	79946	FALSE	TRUE	TRUE	2.19E-05	0.0150677	2.19E-05	A+	0.681805	0.128701
HPR	3250	FALSE	TRUE	TRUE	2.34E-05	0.0151357	2.34E-05	A+	0.693147	0.128701
FBXL15	79176	FALSE	TRUE	TRUE	2.45E-05	0.0151357	2.45E-05	A+	0.49666	0.174597
C8orf74	203076	FALSE	TRUE	TRUE	2.45E-05	0.0151357	2.45E-05	A+	0.463925	0.176915
WNT5B	81029	FALSE	TRUE	TRUE	2.77E-05	0.0165505	2.77E-05	A+	0.737804	0.0996214
SLC35G5	83650	FALSE	TRUE	TRUE	2.94E-05	0.0170216	2.94E-05	A+	0.71452	0.128701
ENAH	55740	FALSE	TRUE	TRUE	3.63E-05	0.020075	3.63E-05	A+	0.463925	0.217602
ADGRG6	57211	FALSE	TRUE	TRUE	3.70E-05	0.020075	3.70E-05	A+	0.693147	0.137702
SGSM2	9905	FALSE	TRUE	TRUE	4.13E-05	0.0212708	4.13E-05	A+	0.463925	0.231978
ERI1	90459	FALSE	TRUE	TRUE	4.21E-05	0.0212708	4.21E-05	A+	0.74361	0.119163
MOCS2	4338	FALSE	TRUE	TRUE	4.27E-05	0.0212708	4.27E-05	A+	0.71452	0.128701
FGFR1	2260	FALSE	TRUE	TRUE	6.22E-05	0.03015	6.22E-05	A+	0.681805	0.174597
TET2	2475	TRUE	FALSE	TRUE	0.00147273	0.143531	0.00147273	CoreSeed-only	0.757073	0.256517
DOCK8	1759	TRUE	FALSE	TRUE	0.0274157	0.401153	0.0274157	CoreSeed-only	0.943621	0.312331
PTPRC	3725	TRUE	FALSE	TRUE	0.077377	0.552076	0.077377	CoreSeed-only	0.992958	0.998603
PIK3CG	5728	TRUE	FALSE	TRUE	0.118144	0.61737	0.118144	CoreSeed-only	0.885246	0.607289
