# packages in environment at /home/h3021/miniconda3:
#
# Name                      Version          Build               Channel
_libgcc_mutex               0.1              main                defaults
_openmp_mutex               5.1              1_gnu               defaults
anaconda-anon-usage         0.7.1            py313hfc0e8ea_100   defaults
annotated-types             0.6.0            py313h06a4308_0     defaults
archspec                    0.2.3            pyhd3eb1b0_0        defaults
boltons                     24.1.0           py313h06a4308_0     defaults
brotli-python               1.0.9            py313h6a678d5_9     defaults
bzip2                       1.0.8            h5eee18b_6          defaults
c-ares                      1.34.6           hb03c661_0          conda-forge
ca-certificates             2026.1.4         hbd8a1cb_0          conda-forge
certifi                     2026.01.04       py313h06a4308_0     defaults
cffi                        1.17.1           py313h1fdaa30_1     defaults
charset-normalizer          3.3.2            pyhd3eb1b0_0        defaults
conda                       26.1.0           py313h78bf25f_0     conda-forge
conda-anaconda-telemetry    0.1.2            py313h06a4308_1     defaults
conda-anaconda-tos          0.2.0            py313h06a4308_0     defaults
conda-content-trust         0.2.0            py313h06a4308_1     defaults
conda-libmamba-solver       25.4.0           pyhd3eb1b0_0        defaults
conda-pack                  0.9.1            pyhcf101f3_0        conda-forge
conda-package-handling      2.4.0            py313h06a4308_0     defaults
conda-package-streaming     0.11.0           py313h06a4308_0     defaults
contourpy                   1.3.3            pypi_0              pypi
cpp-expected                1.3.1            h171cf75_0          conda-forge
cryptography                45.0.3           py313h2ccb017_0     defaults
cycler                      0.12.1           pypi_0              pypi
distro                      1.9.0            py313h06a4308_0     defaults
et-xmlfile                  2.0.0            pypi_0              pypi
expat                       2.7.1            h6a678d5_0          defaults
fmt                         12.1.0           hff5e90c_0          conda-forge
fonttools                   4.63.0           pypi_0              pypi
frozendict                  2.4.2            py313h06a4308_0     defaults
gawk                        5.1.0            h7f98852_0          conda-forge
icu                         78.2             h33c6efd_0          conda-forge
idna                        3.7              py313h06a4308_0     defaults
jsonpatch                   1.33             py313h06a4308_1     defaults
jsonpointer                 2.1              pyhd3eb1b0_0        defaults
keyutils                    1.6.3            hb9d3cd8_0          conda-forge
kiwisolver                  1.5.0            pypi_0              pypi
krb5                        1.21.3           h659f571_0          conda-forge
ld_impl_linux-64            2.40             h12ee557_0          defaults
libarchive                  3.8.5            gpl_hc2c16d8_100    conda-forge
libcurl                     8.18.0           h4e3cde8_0          conda-forge
libedit                     3.1.20230828     h5eee18b_0          defaults
libev                       4.33             h7f8727e_1          defaults
libexpat                    2.7.1            hecca717_0          conda-forge
libffi                      3.4.4            h6a678d5_1          defaults
libgcc                      15.2.0           he0feb66_18         conda-forge
libgcc-ng                   15.2.0           h69a702a_18         conda-forge
libgomp                     15.2.0           he0feb66_18         conda-forge
libiconv                    1.18             h3b78370_2          conda-forge
liblzma                     5.8.2            hb03c661_0          conda-forge
liblzma-devel               5.8.2            hb03c661_0          conda-forge
libmamba                    2.5.0            hd28c85e_0          conda-forge
libmamba-spdlog             2.5.0            h12fcf84_0          conda-forge
libmambapy                  2.5.0            py313h4616538_0     conda-forge
libmpdec                    4.0.0            h5eee18b_0          defaults
libnghttp2                  1.67.0           had1ee68_0          conda-forge
libsolv                     0.7.35           h9463b59_0          conda-forge
libsqlite                   3.51.1           h0c1763c_0          conda-forge
libssh2                     1.11.1           hcf80075_0          conda-forge
libstdcxx                   15.2.0           h934c35e_18         conda-forge
libstdcxx-ng                15.2.0           hdf11a46_18         conda-forge
libuuid                     2.41.3           h5347b49_0          conda-forge
libxcb                      1.17.0           h9b100fa_0          defaults
libxml2                     2.15.1           he237659_1          conda-forge
libxml2-16                  2.15.1           hca6bf5a_1          conda-forge
libzlib                     1.3.1            hb9d3cd8_2          conda-forge
lz4-c                       1.10.0           h5888daf_1          conda-forge
lzo                         2.10             h280c20c_1002       conda-forge
mamba                       2.5.0            h9835478_0          conda-forge
markdown-it-py              2.2.0            py313h06a4308_1     defaults
matplotlib                  3.11.1           pypi_0              pypi
mdurl                       0.1.0            py313h06a4308_0     defaults
menuinst                    2.2.0            py313h06a4308_1     defaults
ncurses                     6.5              h2d0b736_3          conda-forge
nlohmann_json               3.11.2           h6a678d5_0          defaults
nlohmann_json-abi           3.12.0           h0f90c79_1          conda-forge
numpy                       2.3.4            pypi_0              pypi
openpyxl                    3.1.5            pypi_0              pypi
openssl                     3.6.1            h35e630c_1          conda-forge
packaging                   24.2             py313h06a4308_0     defaults
pandas                      2.3.3            pypi_0              pypi
patsy                       1.0.2            pypi_0              pypi
pcre2                       10.47            haa7fec5_0          conda-forge
pillow                      12.3.0           pypi_0              pypi
pip                         25.1             pyhc872135_2        defaults
platformdirs                4.3.7            py313h06a4308_0     defaults
plink                       1.90b6.21        hec16e2b_2          bioconda
pluggy                      1.5.0            py313h06a4308_0     defaults
pthread-stubs               0.3              h0ce48e5_1          defaults
pybind11-abi                11               hc364b38_1          conda-forge
pycosat                     0.6.6            py313h5eee18b_2     defaults
pycparser                   2.21             pyhd3eb1b0_0        defaults
pydantic                    2.10.3           py313h06a4308_0     defaults
pydantic-core               2.27.1           py313h4aa5aa6_0     defaults
pygments                    2.19.1           py313h06a4308_0     defaults
pymupdf                     1.28.2           pypi_0              pypi
pyparsing                   3.3.2            pypi_0              pypi
pysocks                     1.7.1            py313h06a4308_0     defaults
python                      3.13.2           hf636f53_101_cp313  conda-forge
python-dateutil             2.9.0.post0      pypi_0              pypi
python_abi                  3.13             0_cp313             defaults
pytz                        2025.2           pypi_0              pypi
pyyaml                      6.0.3            pypi_0              pypi
readline                    8.2              h5eee18b_0          defaults
reproc                      14.2.4           h6a678d5_2          defaults
reproc-cpp                  14.2.4           h6a678d5_2          defaults
requests                    2.32.3           py313h06a4308_1     defaults
rich                        13.9.4           py313h06a4308_0     defaults
ruamel.yaml                 0.18.10          py313h5eee18b_0     defaults
ruamel.yaml.clib            0.2.12           py313h5eee18b_0     defaults
scipy                       1.16.3           pypi_0              pypi
setuptools                  78.1.1           py313h06a4308_0     defaults
simdjson                    4.2.4            hb700be7_0          conda-forge
six                         1.17.0           pypi_0              pypi
spdlog                      1.17.0           hab81395_1          conda-forge
sqlite                      3.51.1           hbc0de68_0          conda-forge
statsmodels                 0.14.5           pypi_0              pypi
tk                          8.6.13           noxft_h366c992_103  conda-forge
tqdm                        4.67.1           py313h7040dfc_0     defaults
truststore                  0.10.0           py313h06a4308_0     defaults
typing-extensions           4.12.2           py313h06a4308_0     defaults
typing_extensions           4.12.2           py313h06a4308_0     defaults
tzdata                      2025.2           pypi_0              pypi
urllib3                     2.3.0            py313h06a4308_0     defaults
wheel                       0.45.1           py313h06a4308_0     defaults
xorg-libx11                 1.8.12           h9b100fa_1          defaults
xorg-libxau                 1.0.12           h9b100fa_0          defaults
xorg-libxdmcp               1.1.5            h9b100fa_0          defaults
xorg-xorgproto              2024.1           h5eee18b_1          defaults
xz                          5.8.2            ha02ee65_0          conda-forge
xz-gpl-tools                5.8.2            ha02ee65_0          conda-forge
xz-tools                    5.8.2            hb03c661_0          conda-forge
yaml-cpp                    0.8.0            h6a678d5_1          defaults
zlib                        1.3.1            hb9d3cd8_2          conda-forge
zstandard                   0.25.0           py313h54dd161_1     conda-forge
zstd                        1.5.7            hb78ec9c_6          conda-forge
