metric_type	dataset	unit_i	unit_j	n_i	n_j	intersect_n	union_n	Jaccard	phi	unit_id	R2	VIF	condition_number
PAIR	PGC	D01	M01	25	16	4	37	0.10810810810810811	0.1991235626124286				
PAIR	PGC	D01	M02	25	31	0	56	0.0	-0.0015351727249976442				
PAIR	PGC	D01	M03	25	22	8	39	0.20512820512820512	0.3402701545897585				
PAIR	PGC	D01	M04	25	39	0	64	0.0	-0.0017222830843575097				
PAIR	PGC	D01	M05	25	375	1	399	0.002506265664160401	0.005052669705040661				
PAIR	PGC	D01	M06	25	26	0	51	0.0	-0.0014057341591625998				
PAIR	PGC	M01	M02	16	31	0	47	0.0	-0.0012278335780335273				
PAIR	PGC	M01	M03	16	22	3	35	0.08571428571428572	0.1590338937465556				
PAIR	PGC	M01	M04	16	39	0	55	0.0	-0.0013774847399380065				
PAIR	PGC	M01	M05	16	375	1	390	0.002564102564102564	0.008739519748771546				
PAIR	PGC	M01	M06	16	26	0	42	0.0	-0.0011243084079748849				
PAIR	PGC	M02	M03	31	22	0	53	0.0	-0.0014400005799867434				
PAIR	PGC	M02	M04	31	39	0	70	0.0	-0.0019181705824446863				
PAIR	PGC	M02	M05	31	375	0	406	0.0	-0.006003911048625424				
PAIR	PGC	M02	M06	31	26	0	57	0.0	-0.0015656182977894196				
PAIR	PGC	M03	M04	22	39	0	61	0.0	-0.001615511140858744				
PAIR	PGC	M03	M05	22	375	1	396	0.0025252525252525255	0.006075252393413216				
PAIR	PGC	M03	M06	22	26	0	48	0.0	-0.0013185864831622952				
PAIR	PGC	M04	M05	39	375	39	375	0.104	0.31948684231153707				
PAIR	PGC	M04	M06	39	26	0	65	0.0	-0.0017564394331246692				
PAIR	PGC	M05	M06	375	26	0	401	0.0	-0.005497689420999488				
VIF	PGC									D01	0.13736464256318925	1.159238363439388	
VIF	PGC									M01	0.049138866714766305	1.051678278767154	
VIF	PGC									M02	4.242342724036785e-05	1.0000424252270639	
VIF	PGC									M03	0.12447863168166462	1.1421765775069064	
VIF	PGC									M04	0.10210075157867882	1.1137106994556365	
VIF	PGC									M05	0.10224160308054209	1.113885432240312	
VIF	PGC									M06	3.5985748611633284e-05	1.0000359870436324	
CONDITION	PGC												1.4993691817688706
PAIR	SPARK	D01	M01	25	16	4	37	0.10810810810810811	0.19912394892887428				
PAIR	SPARK	D01	M02	25	31	0	56	0.0	-0.0015344957664409312				
PAIR	SPARK	D01	M03	25	22	8	39	0.20512820512820512	0.34027052975430006				
PAIR	SPARK	D01	M04	25	39	0	64	0.0	-0.0017215234489662056				
PAIR	SPARK	D01	M05	25	374	1	398	0.002512562814070352	0.005076017315295529				
PAIR	SPARK	D01	M06	25	27	0	52	0.0	-0.0014319203126649605				
PAIR	SPARK	M01	M02	16	31	0	47	0.0	-0.0012272922796948648				
PAIR	SPARK	M01	M03	16	22	3	35	0.08571428571428572	0.159034275716192				
PAIR	SPARK	M01	M04	16	39	0	55	0.0	-0.0013768773328911175				
PAIR	SPARK	M01	M05	16	374	1	389	0.002570694087403599	0.00876431578771783				
PAIR	SPARK	M01	M06	16	27	0	43	0.0	-0.001145252260257449				
PAIR	SPARK	M02	M03	31	22	0	53	0.0	-0.0014393656415598297				
PAIR	SPARK	M02	M04	31	39	0	70	0.0	-0.001917324408449303				
PAIR	SPARK	M02	M05	31	374	0	405	0.0	-0.005993062116652078				
PAIR	SPARK	M02	M06	31	27	0	58	0.0	-0.0015947826723333705				
PAIR	SPARK	M03	M04	22	39	0	61	0.0	-0.0016147986574956235				
PAIR	SPARK	M03	M05	22	374	1	395	0.002531645569620253	0.006098893271978083				
PAIR	SPARK	M03	M06	22	27	0	49	0.0	-0.001343149290194468				
PAIR	SPARK	M04	M05	39	374	39	374	0.10427807486631016	0.3199240006409918				
PAIR	SPARK	M04	M06	39	27	0	66	0.0	-0.0017891582541114618				
PAIR	SPARK	M05	M06	374	27	0	401	0.0	-0.005592447739234159				
VIF	SPARK									D01	0.13736504364909763	1.1592389024323522	
VIF	SPARK									M01	0.04913941543693956	1.0516788856691541	
VIF	SPARK									M02	4.238558691493921e-05	1.0000423873835291	
VIF	SPARK									M03	0.12447906924402641	1.1421771483367555	
VIF	SPARK									M04	0.10238043012297648	1.1140577072500801	
VIF	SPARK									M05	0.10252256879231769	1.1142341469850212	
VIF	SPARK									M06	3.725248125208136e-05	1.0000372538690512	
CONDITION	SPARK												1.4993729446973467
