HGNC_id	approved_symbol	IUIS_flag	SFARI_R0_highconf_flag	SFARI_R1_highconf_flag	CoreSeed_flag	R0_group
HGNC:14825	OR4F5	0	0	0	0	Background
HGNC:31275	OR4F29	0	0	0	0	Background
HGNC:15079	OR4F16	0	0	0	0	Background
HGNC:28706	SAMD11	0	1	1	0	ASD_only
HGNC:24517	NOC2L	0	0	0	0	Background
HGNC:24023	KLHL17	0	0	0	0	Background
HGNC:25284	PLEKHN1	0	0	0	0	Background
HGNC:28208	PERM1	0	0	0	0	Background
HGNC:24149	HES4	0	0	0	0	Background
HGNC:4053	ISG15	1	0	0	0	IEI_only
HGNC:329	AGRN	0	0	0	0	Background
HGNC:40020	RNF223	0	0	0	0	Background
HGNC:26062	C1orf159	0	0	0	0	Background
HGNC:26693	TTLL10	0	0	0	0	Background
HGNC:11914	TNFRSF18	0	0	0	0	Background
HGNC:11918	TNFRSF4	1	0	0	0	IEI_only
HGNC:24188	SDF4	0	0	0	0	Background
HGNC:17978	B3GALT6	0	0	0	0	Background
HGNC:32308	C1QTNF12	0	0	0	0	Background
HGNC:19268	UBE2J2	0	0	0	0	Background
HGNC:10601	SCNN1D	0	0	0	0	Background
HGNC:16754	ACAP3	0	0	0	0	Background
HGNC:26914	PUSL1	0	0	0	0	Background
HGNC:26052	INTS11	0	0	0	0	Background
HGNC:28116	CPTP	0	0	0	0	Background
HGNC:15661	TAS1R3	0	0	0	0	Background
HGNC:3084	DVL1	0	0	0	0	Background
HGNC:7542	MXRA8	0	0	0	0	Background
HGNC:24114	AURKAIP1	0	0	0	0	Background
HGNC:20570	CCNL2	0	0	0	0	Background
HGNC:27125	MRPL20-AS1	0	0	0	0	Background
HGNC:14478	MRPL20	0	0	0	0	Background
HGNC:42950	ANKRD65	0	0	0	0	Background
HGNC:37099	TMEM278	0	0	0	0	Background
HGNC:30910	VWA1	0	0	0	0	Background
HGNC:32151	ATAD3C	0	0	0	0	Background
HGNC:24007	ATAD3B	0	0	0	0	Background
HGNC:25567	ATAD3A	1	0	0	0	IEI_only
HGNC:25186	TMEM240	0	0	0	0	Background
HGNC:25016	SSU72	0	0	0	0	Background
HGNC:57014	SSU72-AS1	0	0	0	0	Background
HGNC:42951	FNDC10	0	0	0	0	Background
HGNC:30577	MIB2	0	0	0	0	Background
HGNC:7171	MMP23B	0	0	0	0	Background
HGNC:1729	CDK11B	0	0	0	0	Background
HGNC:33941	SLC35E2B	0	0	0	0	Background
HGNC:1730	CDK11A	0	0	0	0	Background
HGNC:20863	SLC35E2A	0	0	0	0	Background
HGNC:29831	NADK	0	0	0	0	Background
HGNC:4396	GNB1	0	0	0	0	Background
HGNC:24193	CALML6	0	0	0	0	Background
HGNC:27916	TMEM52	0	0	0	0	Background
HGNC:29368	CFAP74	0	0	0	0	Background
HGNC:4084	GABRD	0	0	0	0	Background
HGNC:9412	PRKCZ	0	0	0	0	Background
HGNC:26428	FAAP20	0	0	0	0	Background
HGNC:10896	SKI	0	1	1	0	ASD_only
HGNC:25852	MORN1	0	0	0	0	Background
HGNC:30309	RER1	0	0	0	0	Background
HGNC:8851	PEX10	0	0	0	0	Background
HGNC:29037	PLCH2	0	0	0	0	Background
HGNC:19366	PANK4	0	0	0	0	Background
HGNC:19764	HES5	0	0	0	0	Background
HGNC:11912	TNFRSF14	0	0	0	0	Background
HGNC:28390	PRXL2B	0	0	0	0	Background
HGNC:14668	MMEL1	0	0	0	0	Background
HGNC:34297	TTC34	0	0	0	0	Background
HGNC:24026	ACTRT2	0	0	0	0	Background
HGNC:14000	PRDM16	0	0	0	0	Background
HGNC:15515	ARHGEF16	0	0	0	0	Background
HGNC:3232	MEGF6	0	0	0	0	Background
HGNC:27007	TPRG1L	0	0	0	0	Background
HGNC:12759	WRAP73	0	0	0	0	Background
HGNC:12003	TP73	0	0	0	0	Background
HGNC:26546	CCDC27	0	0	0	0	Background
HGNC:44204	SMIM1	0	0	0	0	Background
HGNC:29207	LRRC47	0	0	0	0	Background
HGNC:24866	CEP104	0	0	0	0	Background
HGNC:2773	DFFB	0	0	0	0	Background
HGNC:27915	C1orf174	0	0	0	0	Background
HGNC:30801	AJAP1	0	0	0	0	Background
HGNC:19104	NPHP4	0	0	0	0	Background
HGNC:6229	KCNAB2	0	0	0	0	Background
HGNC:16816	CHD5	0	0	0	0	Background
HGNC:10315	RPL22	0	0	0	0	Background
HGNC:32947	RNF207	0	0	0	0	Background
HGNC:5350	ICMT	0	0	0	0	Background
HGNC:26226	HES3	0	0	0	0	Background
HGNC:23618	GPR153	0	0	0	0	Background
HGNC:24157	ACOT7	0	0	0	0	Background
HGNC:16005	HES2	0	0	0	0	Background
HGNC:13281	ESPN	0	0	0	0	Background
