source	pathway_id	pathway_name	n_genes	primary_10_500_flag
GO_BP	GO:0000012	single strand break repair	14	1
GO_BP	GO:0000017	alpha-glucoside transport	2	0
GO_BP	GO:0000018	regulation of DNA recombination	125	1
GO_BP	GO:0000019	regulation of mitotic recombination	5	0
GO_BP	GO:0000022	mitotic spindle elongation	11	1
GO_BP	GO:0000023	maltose metabolic process	2	0
GO_BP	GO:0000025	maltose catabolic process	1	0
GO_BP	GO:0000027	ribosomal large subunit assembly	29	1
GO_BP	GO:0000028	ribosomal small subunit assembly	17	1
GO_BP	GO:0000038	very long-chain fatty acid metabolic process	32	1
GO_BP	GO:0000041	transition metal ion transport	86	1
GO_BP	GO:0000045	autophagosome assembly	75	1
GO_BP	GO:0000050	urea cycle	13	1
GO_BP	GO:0000054	ribosomal subunit export from nucleus	13	1
GO_BP	GO:0000055	ribosomal large subunit export from nucleus	7	0
GO_BP	GO:0000056	ribosomal small subunit export from nucleus	8	0
GO_BP	GO:0000070	mitotic sister chromatid segregation	138	1
GO_BP	GO:0000075	cell cycle checkpoint signaling	147	1
GO_BP	GO:0000076	DNA replication checkpoint signaling	24	1
GO_BP	GO:0000077	DNA damage checkpoint signaling	92	1
GO_BP	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	31	1
GO_BP	GO:0000082	G1/S transition of mitotic cell cycle	70	1
GO_BP	GO:0000086	G2/M transition of mitotic cell cycle	45	1
GO_BP	GO:0000096	sulfur amino acid metabolic process	34	1
GO_BP	GO:0000097	sulfur amino acid biosynthetic process	11	1
GO_BP	GO:0000098	sulfur amino acid catabolic process	11	1
GO_BP	GO:0000101	sulfur amino acid transport	13	1
GO_BP	GO:0000103	sulfate assimilation	2	0
GO_BP	GO:0000122	negative regulation of transcription by RNA polymerase II	940	0
GO_BP	GO:0000132	establishment of mitotic spindle orientation	32	1
GO_BP	GO:0000154	rRNA modification	36	1
GO_BP	GO:0000165	MAPK cascade	162	1
GO_BP	GO:0000183	rDNA heterochromatin formation	7	0
GO_BP	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	28	1
GO_BP	GO:0000209	protein polyubiquitination	249	1
GO_BP	GO:0000212	meiotic spindle organization	15	1
GO_BP	GO:0000226	microtubule cytoskeleton organization	554	0
GO_BP	GO:0000244	spliceosomal tri-snRNP complex assembly	38	1
GO_BP	GO:0000245	spliceosomal complex assembly	77	1
GO_BP	GO:0000255	allantoin metabolic process	7	0
GO_BP	GO:0000256	allantoin catabolic process	1	0
GO_BP	GO:0000266	mitochondrial fission	15	1
GO_BP	GO:0000270	peptidoglycan metabolic process	6	0
GO_BP	GO:0000271	polysaccharide biosynthetic process	21	1
GO_BP	GO:0000272	polysaccharide catabolic process	24	1
GO_BP	GO:0000278	mitotic cell cycle	552	0
GO_BP	GO:0000280	nuclear division	293	1
GO_BP	GO:0000281	mitotic cytokinesis	89	1
GO_BP	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	45	1
GO_BP	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	23	1
GO_BP	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	18	1
GO_BP	GO:0000292	RNA fragment catabolic process	1	0
GO_BP	GO:0000296	spermine transport	4	0
GO_BP	GO:0000301	retrograde transport, vesicle recycling within Golgi	11	1
GO_BP	GO:0000302	response to reactive oxygen species	150	1
GO_BP	GO:0000303	response to superoxide	17	1
GO_BP	GO:0000304	response to singlet oxygen	1	0
GO_BP	GO:0000305	response to oxygen radical	18	1
GO_BP	GO:0000316	sulfite transmembrane transport	1	0
GO_BP	GO:0000338	protein deneddylation	11	1
GO_BP	GO:0000349	generation of catalytic spliceosome for first transesterification step	2	0
GO_BP	GO:0000350	generation of catalytic spliceosome for second transesterification step	2	0
GO_BP	GO:0000354	cis assembly of pre-catalytic spliceosome	2	0
GO_BP	GO:0000375	RNA splicing, via transesterification reactions	273	1
GO_BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	268	1
GO_BP	GO:0000378	RNA exon ligation	3	0
GO_BP	GO:0000379	tRNA-type intron splice site recognition and cleavage	5	0
GO_BP	GO:0000380	alternative mRNA splicing, via spliceosome	24	1
GO_BP	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	68	1
