entity	raw26_id	legacy_id	raw26_hash	legacy_hash	raw26_n	legacy_n	exact_same	added_n	added_members	removed_n	removed_members	jaccard
TIER1_PATHWAY_SET	COLLECTION	COLLECTION	549fb5a94db7413d034b3569b2d38a1676922ba32465348917826ebfb0feac04	cd33e3508c677679e5ad3962f108315390fa2d163c911e20b9f061c43c999ebd	39	40	0	1	GO_BP::GO:0032490	2	GO_BP::GO:0070661;Reactome::R-HSA-176974	0.926829268292683
REPRESENTATIVE_PATHWAY_SET	COLLECTION	COLLECTION	018c4adad0bfb69d10afc2dfbab2aa9deb8cb1011aeaa14b38ef6a6f73710975	51d0d05b2ebbd02152d37504ddbaa74587c0c7005ba9ca3f11526d695784b9f1	30	30	0	1	GO_BP::GO:0032490	1	Reactome::R-HSA-176974	0.9354838709677419
STANDALONE_PATHWAY_SET	COLLECTION	COLLECTION	821a19fe34c385cf053840a2bcce2116adb1b8cec9cd40a152e37d44106b7c60	286fe60c0d546e488923081f9c702dba58a950829b797db0812ea37dfc445382	13	11	0	2	GO_BP::GO:0032490;GO_BP::GO:1902969	0		0.8461538461538461
HIGHER_ORDER_EXPANDED	D01	D01	54ca7a17aa5be58ed64862ea4f1ca38361d5afeb0fac7fe6ddba1cba1e0485aa	90b05fcbe64ec554defad0044aa3814d7c0469df0d8e1b1d4bdbb3cea13b4b60	27	41	0	0		14	HGNC:16789;HGNC:17871;HGNC:17877;HGNC:20989;HGNC:2704;HGNC:2858;HGNC:29832;HGNC:30092;HGNC:30450;HGNC:31853;HGNC:4376;HGNC:4377;HGNC:7892;HGNC:8494	0.6585365853658537
HIGHER_ORDER_EXPANDED	M01	M01	82610c6ed4a0d56e567b6bbef2dd213537bdfa285fd79cacbeb3685aa0ad6595	82610c6ed4a0d56e567b6bbef2dd213537bdfa285fd79cacbeb3685aa0ad6595	17	17	1	0		0		1.0
HIGHER_ORDER_EXPANDED	M02	M02	71ccb288a118375bf9180d586463874c8453be0bead40527fdc9c0075f121dd0	71ccb288a118375bf9180d586463874c8453be0bead40527fdc9c0075f121dd0	34	34	1	0		0		1.0
HIGHER_ORDER_EXPANDED	M03	D01	686e49bfaa76e2da2c06beb2f72a67090b154531ca5bb861423b504b4468bf90	90b05fcbe64ec554defad0044aa3814d7c0469df0d8e1b1d4bdbb3cea13b4b60	23	41	0	0		18	HGNC:10850;HGNC:12405;HGNC:125;HGNC:12805;HGNC:28144;HGNC:292;HGNC:3012;HGNC:4163;HGNC:4212;HGNC:4378;HGNC:6052;HGNC:6053;HGNC:794;HGNC:8049;HGNC:8587;HGNC:8863;HGNC:9238;HGNC:9462	0.5609756097560976
HIGHER_ORDER_EXPANDED	M04	M03	745cc94e16fbf5288ac090cbcce199d6bc1d58450d67b3c8e870e78c751b963e	745cc94e16fbf5288ac090cbcce199d6bc1d58450d67b3c8e870e78c751b963e	42	42	1	0		0		1.0
HIGHER_ORDER_EXPANDED	M05	M04	d37519543cc18afc7402d49f25e3786b950599e48f736de455c812553707de38	d37519543cc18afc7402d49f25e3786b950599e48f736de455c812553707de38	387	387	1	0		0		1.0
HIGHER_ORDER_EXPANDED	M06	M06	ac8f489adb27923d3276d20395cd4cb878a88194ed6075ef57d2c9f4daaca0b6	ac8f489adb27923d3276d20395cd4cb878a88194ed6075ef57d2c9f4daaca0b6	28	28	1	0		0		1.0
HIGHER_ORDER_COMPACT	D01	D01	8b560e2e7a4400f2927f40cb196580b9f68bed669d3154a003364b789bf06c93	6f40fb37c41e1e4f5b64ebe97bbc2b949d7d53d1114d8acc875464b252f3b475	21	25	0	0		4	HGNC:2704;HGNC:2858;HGNC:470;HGNC:7892	0.84
HIGHER_ORDER_COMPACT	M01	M01	6eb4acc4126fc91460e4232a5f09bdc0c381de7d244fbcec293c4387717b1b56	6eb4acc4126fc91460e4232a5f09bdc0c381de7d244fbcec293c4387717b1b56	8	8	1	0		0		1.0
HIGHER_ORDER_COMPACT	M02	M02	2ed34d7eb265f0b3f73121fb4d4133c03437ca15a7873d0506463233e8236f42	2ed34d7eb265f0b3f73121fb4d4133c03437ca15a7873d0506463233e8236f42	8	8	1	0		0		1.0
HIGHER_ORDER_COMPACT	M03	D01	a87d5c9d106a31374d6f9eceac91421c47da5360af3f9a012d826acbe3c26dc1	6f40fb37c41e1e4f5b64ebe97bbc2b949d7d53d1114d8acc875464b252f3b475	10	25	0	0		15	HGNC:10850;HGNC:20093;HGNC:28144;HGNC:291;HGNC:292;HGNC:4163;HGNC:4378;HGNC:6052;HGNC:6053;HGNC:794;HGNC:8049;HGNC:8587;HGNC:8863;HGNC:9238;HGNC:9462	0.4
HIGHER_ORDER_COMPACT	M04	M03	b37d52cd0439fc35a244e53b57ffc6881731cd15e0eda7e0388854633b17aba0	b37d52cd0439fc35a244e53b57ffc6881731cd15e0eda7e0388854633b17aba0	20	20	1	0		0		1.0
HIGHER_ORDER_COMPACT	M05	M04	cf4712a1f466fc41c975091bf559afa0a805facfdf6b33069a393eef2ff4bea1	cf4712a1f466fc41c975091bf559afa0a805facfdf6b33069a393eef2ff4bea1	255	255	1	0		0		1.0
HIGHER_ORDER_COMPACT	M06	M06	b744aa0b04132c53840f5eb09a2991282f1974dcf1cce9af5a5258d19b9c191d	b744aa0b04132c53840f5eb09a2991282f1974dcf1cce9af5a5258d19b9c191d	10	10	1	0		0		1.0
