pathway_key	source	pathway_id	pathway_name	pathway_size	q_emp	q_Firth	raw26_driver_n	raw26_drivers	assignment_type	unit_id	standalone_id	biological_label
GO_BP::GO:0000730	GO_BP	GO:0000730	DNA recombinase assembly	10	0.016513500165135	0.0074063472936324	1	BRCA2	STANDALONE_REPRESENTATIVE		SA001	DNA recombinase assembly
GO_BP::GO:0006144	GO_BP	GO:0006144	purine nucleobase metabolic process	16	0.016513500165135	0.0170269912694331	1	ADA	HIGHER_ORDER_REPRESENTATIVE	D01		Purine nucleotide metabolism and biosynthesis
GO_BP::GO:0006167	GO_BP	GO:0006167	AMP biosynthetic process	13	0.016513500165135	0.0074063472936324	1	ADA	HIGHER_ORDER_REPRESENTATIVE	D01		Purine nucleotide metabolism and biosynthesis
GO_BP::GO:0006177	GO_BP	GO:0006177	GMP biosynthetic process	15	0.016513500165135	0.0078045689858817	1	ADA	HIGHER_ORDER_REPRESENTATIVE	D01		Purine nucleotide metabolism and biosynthesis
GO_BP::GO:0006265	GO_BP	GO:0006265	DNA topological change	10	0.016513500165135	0.023077562802414	1	TOP2B	STANDALONE_REPRESENTATIVE		SA002	DNA topological change
GO_BP::GO:0006310	GO_BP	GO:0006310	DNA recombination	215	0.0454121254541212	0.0003280888231167	5	BRCA2;MCM4;NSMCE3;PRKDC;TOP2B	STANDALONE_REPRESENTATIVE		SA003	DNA recombination
GO_BP::GO:0006614	GO_BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	18	0.016513500165135	0.0003280888231167	1	SRPRA	STANDALONE_REPRESENTATIVE		SA004	SRP-dependent cotranslational protein targeting to membrane
GO_BP::GO:0009113	GO_BP	GO:0009113	purine nucleobase biosynthetic process	10	0.016513500165135	0.0028925157624682	1	ADA	HIGHER_ORDER_REPRESENTATIVE	D01		Purine nucleotide metabolism and biosynthesis
GO_BP::GO:0009155	GO_BP	GO:0009155	purine deoxyribonucleotide catabolic process	13	0.016513500165135	0.0052652903438877	1	ADA	HIGHER_ORDER_REPRESENTATIVE	M01		Purine nucleotide catabolism
GO_BP::GO:0009168	GO_BP	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	19	0.016513500165135	0.0139957867556379	1	ADA	HIGHER_ORDER_REPRESENTATIVE	D01		Purine nucleotide metabolism and biosynthesis
GO_BP::GO:0009169	GO_BP	GO:0009169	purine ribonucleoside monophosphate catabolic process	12	0.016513500165135	0.0093963615667212	1	ADA	HIGHER_ORDER_REPRESENTATIVE	M01		Purine nucleotide catabolism
GO_BP::GO:0015820	GO_BP	GO:0015820	L-leucine transport	11	0.016513500165135	0.0016502072669804	1	SLC7A7	HIGHER_ORDER_REPRESENTATIVE	M02		Amino-acid transport
GO_BP::GO:0032261	GO_BP	GO:0032261	purine nucleotide salvage	20	0.016513500165135	0.01625714990823	1	ADA	HIGHER_ORDER_REPRESENTATIVE	M03		Purine salvage
GO_BP::GO:0032490	GO_BP	GO:0032490	detection of molecule of bacterial origin	13	0.016513500165135	0.0248388388834101	1	C4B	STANDALONE_REPRESENTATIVE		SA005	detection of molecule of bacterial origin
GO_BP::GO:0034497	GO_BP	GO:0034497	protein localization to phagophore assembly site	16	0.016513500165135	0.0017870529376223	1	LRBA	STANDALONE_REPRESENTATIVE		SA006	protein localization to phagophore assembly site
GO_BP::GO:0042098	GO_BP	GO:0042098	T cell proliferation	20	0.016513500165135	0.0005352518377466	2	DOCK8;PIK3CG	HIGHER_ORDER_REPRESENTATIVE	M04		Lymphocyte and T-cell proliferation
GO_BP::GO:0042110	GO_BP	GO:0042110	T cell activation	255	0.016513500165135	0.0047079920798306	6	ADA;CHD7;DOCK8;KMT2A;PIK3CG;PTPRC	HIGHER_ORDER_REPRESENTATIVE	M05		Lymphocyte and T-cell activation
GO_BP::GO:0045475	GO_BP	GO:0045475	locomotor rhythm	11	0.016513500165135	0.0282158557600621	1	PTEN	STANDALONE_REPRESENTATIVE		SA007	locomotor rhythm
GO_BP::GO:0046128	GO_BP	GO:0046128	purine ribonucleoside metabolic process	25	0.016513500165135	0.0168681205542631	1	ADA	STANDALONE_REPRESENTATIVE		SA008	purine ribonucleoside metabolic process
GO_BP::GO:0046649	GO_BP	GO:0046649	lymphocyte activation	387	0.016513500165135	0.0003280888231167	9	ADA;CHD7;CORO1A;DOCK8;KMT2A;PAX5;PIK3CG;PTPRC;TOP2B	HIGHER_ORDER_REPRESENTATIVE	M05		Lymphocyte and T-cell activation
GO_BP::GO:0046651	GO_BP	GO:0046651	lymphocyte proliferation	42	0.0454121254541212	0.0015267175939372	3	DOCK8;PIK3CG;PTPRC	HIGHER_ORDER_REPRESENTATIVE	M04		Lymphocyte and T-cell proliferation
GO_BP::GO:0072710	GO_BP	GO:0072710	response to hydroxyurea	10	0.016513500165135	0.0094098855897321	1	NSMCE3	STANDALONE_REPRESENTATIVE		SA009	response to hydroxyurea
