standalone_id	pathway_key	medoid_cluster	community_size	median_within_community_coclustering	unit_type	unit_id	source	pathway_id	pathway_name	q_emp	q_Firth	pathway_size	raw26_driver_n	raw26_drivers	biological_label	family	multiplicity_m	primary_status
SA001	GO_BP::GO:0000730	1	1		standalone_representative		GO_BP	GO:0000730	DNA recombinase assembly	0.016513500165135	0.0074063472936324	10	1	BRCA2	DNA recombinase assembly	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA002	GO_BP::GO:0006265	3	1		standalone_representative		GO_BP	GO:0006265	DNA topological change	0.016513500165135	0.023077562802414	10	1	TOP2B	DNA topological change	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA003	GO_BP::GO:0006310	4	1		standalone_representative		GO_BP	GO:0006310	DNA recombination	0.0454121254541212	0.0003280888231167	215	5	BRCA2;MCM4;NSMCE3;PRKDC;TOP2B	DNA recombination	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA004	GO_BP::GO:0006614	5	1		standalone_representative		GO_BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	0.016513500165135	0.0003280888231167	18	1	SRPRA	SRP-dependent cotranslational protein targeting to membrane	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA005	GO_BP::GO:0032490	9	1		standalone_representative		GO_BP	GO:0032490	detection of molecule of bacterial origin	0.016513500165135	0.0248388388834101	13	1	C4B	detection of molecule of bacterial origin	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA006	GO_BP::GO:0034497	10	1		standalone_representative		GO_BP	GO:0034497	protein localization to phagophore assembly site	0.016513500165135	0.0017870529376223	16	1	LRBA	protein localization to phagophore assembly site	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA007	GO_BP::GO:0045475	13	1		standalone_representative		GO_BP	GO:0045475	locomotor rhythm	0.016513500165135	0.0282158557600621	11	1	PTEN	locomotor rhythm	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA008	GO_BP::GO:0046128	14	1		standalone_representative		GO_BP	GO:0046128	purine ribonucleoside metabolic process	0.016513500165135	0.0168681205542631	25	1	ADA	purine ribonucleoside metabolic process	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA009	GO_BP::GO:0072710	15	1		standalone_representative		GO_BP	GO:0072710	response to hydroxyurea	0.016513500165135	0.0094098855897321	10	1	NSMCE3	response to hydroxyurea	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA010	GO_BP::GO:1902969	16	1		standalone_representative		GO_BP	GO:1902969	mitotic DNA replication	0.016513500165135	8.97092162062e-06	14	2	BRCA2;MCM4	mitotic DNA replication	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA011	Reactome::R-HSA-9755088	18	1		standalone_representative		Reactome	R-HSA-9755088	Ribavirin ADME	0.0174411130315539	0.0079286135336544	11	1	ADA	Ribavirin ADME	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA012	Reactome::R-HSA-9827857	19	1		standalone_representative		Reactome	R-HSA-9827857	Specification of primordial germ cells	0.0174411130315539	0.0047576604295044	12	1	TET2	Specification of primordial germ cells	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
SA013	Reactome::R-HSA-9953170	20	1		standalone_representative		Reactome	R-HSA-9953170	GBP-mediated host defense	0.0174411130315539	0.0036807047851678	11	1	ACTB	GBP-mediated host defense	B_SECONDARY_STANDALONE	13	SECONDARY_COMPLETENESS
