pathway_key	source	pathway_id	pathway_name	pathway_size	q_emp	q_Firth	OR_Firth	raw26_driver_n	raw26_drivers	redundancy_family_id	redundancy_family_n	representative_flag	representative_pathway_key
GO_BP::GO:0000730	GO_BP	GO:0000730	DNA recombinase assembly	10	0.016513500165135	0.0074063472936324	53.1961426739944	1	BRCA2	RF001	3	1	GO_BP::GO:0000730
GO_BP::GO:0090735	GO_BP	GO:0090735	DNA repair complex assembly	10	0.016513500165135	0.0074063472936324	53.1961426739944	1	BRCA2	RF001	3	0	GO_BP::GO:0000730
GO_BP::GO:0045003	GO_BP	GO:0045003	double-strand break repair via synthesis-dependent strand annealing	14	0.016513500165135	0.0075870689510588	42.9785451205863	1	BRCA2	RF001	3	0	GO_BP::GO:0000730
GO_BP::GO:0006144	GO_BP	GO:0006144	purine nucleobase metabolic process	16	0.016513500165135	0.0170269912694331	28.9207926205545	1	ADA	RF002	1	1	GO_BP::GO:0006144
GO_BP::GO:0006167	GO_BP	GO:0006167	AMP biosynthetic process	13	0.016513500165135	0.0074063472936324	42.6839761175004	1	ADA	RF003	1	1	GO_BP::GO:0006167
GO_BP::GO:0006177	GO_BP	GO:0006177	GMP biosynthetic process	15	0.016513500165135	0.0078045689858817	39.2531174517111	1	ADA	RF004	1	1	GO_BP::GO:0006177
GO_BP::GO:0006265	GO_BP	GO:0006265	DNA topological change	10	0.016513500165135	0.023077562802414	44.5805805816282	1	TOP2B	RF005	1	1	GO_BP::GO:0006265
GO_BP::GO:0006310	GO_BP	GO:0006310	DNA recombination	215	0.0454121254541212	0.0003280888231167	11.8553843606882	5	BRCA2;MCM4;NSMCE3;PRKDC;TOP2B	RF006	1	1	GO_BP::GO:0006310
GO_BP::GO:0006614	GO_BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	18	0.016513500165135	0.0003280888231167	112.603333197488	1	SRPRA	RF007	2	1	GO_BP::GO:0006614
GO_BP::GO:0006613	GO_BP	GO:0006613	cotranslational protein targeting to membrane	22	0.016513500165135	0.0005352518377466	88.7430660987085	1	SRPRA	RF007	2	0	GO_BP::GO:0006614
GO_BP::GO:0009113	GO_BP	GO:0009113	purine nucleobase biosynthetic process	10	0.016513500165135	0.0028925157624682	67.9815670659901	1	ADA	RF008	1	1	GO_BP::GO:0009113
GO_BP::GO:0009155	GO_BP	GO:0009155	purine deoxyribonucleotide catabolic process	13	0.016513500165135	0.0052652903438877	47.105780502237	1	ADA	RF009	1	1	GO_BP::GO:0009155
GO_BP::GO:0009168	GO_BP	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	19	0.016513500165135	0.0139957867556379	29.474612587994	1	ADA	RF010	2	1	GO_BP::GO:0009168
GO_BP::GO:0009127	GO_BP	GO:0009127	purine nucleoside monophosphate biosynthetic process	22	0.016513500165135	0.0168681205542631	26.2788073685953	1	ADA	RF010	2	0	GO_BP::GO:0009168
GO_BP::GO:0009169	GO_BP	GO:0009169	purine ribonucleoside monophosphate catabolic process	12	0.016513500165135	0.0093963615667212	36.3873293024867	1	ADA	RF011	2	1	GO_BP::GO:0009169
GO_BP::GO:0009128	GO_BP	GO:0009128	purine nucleoside monophosphate catabolic process	13	0.016513500165135	0.0093963615667212	35.3739518828968	1	ADA	RF011	2	0	GO_BP::GO:0009169
GO_BP::GO:0015820	GO_BP	GO:0015820	L-leucine transport	11	0.016513500165135	0.0016502072669804	88.5450985460442	1	SLC7A7	RF012	1	1	GO_BP::GO:0015820
GO_BP::GO:0032261	GO_BP	GO:0032261	purine nucleotide salvage	20	0.016513500165135	0.01625714990823	27.0689214796855	1	ADA	RF013	2	1	GO_BP::GO:0032261
GO_BP::GO:0043101	GO_BP	GO:0043101	purine-containing compound salvage	23	0.016513500165135	0.0170269912694331	25.3459775982199	1	ADA	RF013	2	0	GO_BP::GO:0032261
GO_BP::GO:0032490	GO_BP	GO:0032490	detection of molecule of bacterial origin	13	0.016513500165135	0.0248388388834101	27.4873780414128	1	C4B	RF014	1	1	GO_BP::GO:0032490
GO_BP::GO:0034497	GO_BP	GO:0034497	protein localization to phagophore assembly site	16	0.016513500165135	0.0017870529376223	63.3388506116492	1	LRBA	RF015	1	1	GO_BP::GO:0034497
GO_BP::GO:0042098	GO_BP	GO:0042098	T cell proliferation	20	0.016513500165135	0.0005352518377466	40.6337761244958	2	DOCK8;PIK3CG	RF016	1	1	GO_BP::GO:0042098
GO_BP::GO:0042110	GO_BP	GO:0042110	T cell activation	255	0.016513500165135	0.0047079920798306	8.17591197087573	6	ADA;CHD7;DOCK8;KMT2A;PIK3CG;PTPRC	RF017	1	1	GO_BP::GO:0042110
GO_BP::GO:0045475	GO_BP	GO:0045475	locomotor rhythm	11	0.016513500165135	0.0282158557600621	28.3531635741152	1	PTEN	RF018	1	1	GO_BP::GO:0045475
GO_BP::GO:0046128	GO_BP	GO:0046128	purine ribonucleoside metabolic process	25	0.016513500165135	0.0168681205542631	26.281956568843	1	ADA	RF019	2	1	GO_BP::GO:0046128
GO_BP::GO:0042278	GO_BP	GO:0042278	purine nucleoside metabolic process	30	0.016513500165135	0.0186158043508676	23.6802641740506	1	ADA	RF019	2	0	GO_BP::GO:0046128
GO_BP::GO:0046649	GO_BP	GO:0046649	lymphocyte activation	387	0.016513500165135	0.0003280888231167	10.1945096077925	9	ADA;CHD7;CORO1A;DOCK8;KMT2A;PAX5;PIK3CG;PTPRC;TOP2B	RF020	2	1	GO_BP::GO:0046649
GO_BP::GO:0045321	GO_BP	GO:0045321	leukocyte activation	493	0.016513500165135	0.0022792604165786	7.81371573106888	9	ADA;CHD7;CORO1A;DOCK8;KMT2A;PAX5;PIK3CG;PTPRC;TOP2B	RF020	2	0	GO_BP::GO:0046649
GO_BP::GO:0046651	GO_BP	GO:0046651	lymphocyte proliferation	42	0.0454121254541212	0.0015267175939372	20.4711963238173	3	DOCK8;PIK3CG;PTPRC	RF021	2	1	GO_BP::GO:0046651
GO_BP::GO:0032943	GO_BP	GO:0032943	mononuclear cell proliferation	43	0.0454121254541212	0.0016271136362428	19.8783634663847	3	DOCK8;PIK3CG;PTPRC	RF021	2	0	GO_BP::GO:0046651
GO_BP::GO:0072710	GO_BP	GO:0072710	response to hydroxyurea	10	0.016513500165135	0.0094098855897321	47.6929583994417	1	NSMCE3	RF022	1	1	GO_BP::GO:0072710
GO_BP::GO:1902969	GO_BP	GO:1902969	mitotic DNA replication	14	0.016513500165135	8.97092162062e-06	108.145523127755	2	BRCA2;MCM4	RF023	1	1	GO_BP::GO:1902969
Reactome::R-HSA-352230	Reactome	R-HSA-352230	Amino acid transport across the plasma membrane	31	0.0174411130315539	0.0109968510997823	30.4592532036274	1	SLC7A7	RF024	1	1	Reactome::R-HSA-352230
Reactome::R-HSA-389957	Reactome	R-HSA-389957	Prefoldin mediated transfer of substrate  to CCT/TriC	28	0.0174411130315539	0.009377698586411	37.2386911925587	1	ACTB	RF025	1	1	Reactome::R-HSA-389957
Reactome::R-HSA-390450	Reactome	R-HSA-390450	Folding of actin by CCT/TriC	10	0.0174411130315539	0.0018824128768158	96.6632986491845	1	ACTB	RF026	1	1	Reactome::R-HSA-390450
Reactome::R-HSA-74217	Reactome	R-HSA-74217	Purine salvage	13	0.0174411130315539	0.0112875635599782	39.9171434329601	1	ADA	RF027	1	1	Reactome::R-HSA-74217
Reactome::R-HSA-9755088	Reactome	R-HSA-9755088	Ribavirin ADME	11	0.0174411130315539	0.0079286135336544	52.5301728385194	1	ADA	RF028	1	1	Reactome::R-HSA-9755088
Reactome::R-HSA-9827857	Reactome	R-HSA-9827857	Specification of primordial germ cells	12	0.0174411130315539	0.0047576604295044	65.2882231181161	1	TET2	RF029	1	1	Reactome::R-HSA-9827857
Reactome::R-HSA-9953170	Reactome	R-HSA-9953170	GBP-mediated host defense	11	0.0174411130315539	0.0036807047851678	70.2393743068651	1	ACTB	RF030	1	1	Reactome::R-HSA-9953170
