unit_id	biological_label_placeholder	unit_type	representative_pathway_ids	original_tier1_pathway_ids	HGNC_id	gene	raw26_anchor_flag	membership_count	membership_count_all_tier1	raw26_domain_core_flag	Expanded_flag	Compact_flag	AllTier1_flag	broad_domain_flag	freeze_timestamp	biological_label	primary_expanded_status	compact_status
D01	GWAS_BLINDED_UNIT_D01	stable_domain	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009168	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009127;GO_BP::GO:0009168	HGNC:125	ACP3	0	1	1	0	1	0	1	0	2026-09-09T09:54:35.492033+00:00	Purine nucleotide metabolism and biosynthesis	PRIMARY	
D01	GWAS_BLINDED_UNIT_D01	stable_domain	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009168	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009127;GO_BP::GO:0009168	HGNC:186	ADA	1	5	6	1	1	1	1	0	2026-09-09T09:54:35.492033+00:00	Purine nucleotide metabolism and biosynthesis	PRIMARY	SENSITIVITY
D01	GWAS_BLINDED_UNIT_D01	stable_domain	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009168	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009127;GO_BP::GO:0009168	HGNC:257	ADK	0	4	5	0	1	1	1	0	2026-09-09T09:54:35.492033+00:00	Purine nucleotide metabolism and biosynthesis	PRIMARY	SENSITIVITY
D01	GWAS_BLINDED_UNIT_D01	stable_domain	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009168	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009127;GO_BP::GO:0009168	HGNC:291	ADSL	0	3	4	0	1	1	1	0	2026-09-09T09:54:35.492033+00:00	Purine nucleotide metabolism and biosynthesis	PRIMARY	SENSITIVITY
D01	GWAS_BLINDED_UNIT_D01	stable_domain	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009168	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009127;GO_BP::GO:0009168	HGNC:20093	ADSS1	0	2	3	0	1	1	1	0	2026-09-09T09:54:35.492033+00:00	Purine nucleotide metabolism and biosynthesis	PRIMARY	SENSITIVITY
D01	GWAS_BLINDED_UNIT_D01	stable_domain	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009168	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009127;GO_BP::GO:0009168	HGNC:292	ADSS2	0	2	3	0	1	1	1	0	2026-09-09T09:54:35.492033+00:00	Purine nucleotide metabolism and biosynthesis	PRIMARY	SENSITIVITY
D01	GWAS_BLINDED_UNIT_D01	stable_domain	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009168	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009127;GO_BP::GO:0009168	HGNC:468	AMPD1	0	2	3	0	1	1	1	0	2026-09-09T09:54:35.492033+00:00	Purine nucleotide metabolism and biosynthesis	PRIMARY	SENSITIVITY
D01	GWAS_BLINDED_UNIT_D01	stable_domain	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009168	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009127;GO_BP::GO:0009168	HGNC:469	AMPD2	0	2	3	0	1	1	1	0	2026-09-09T09:54:35.492033+00:00	Purine nucleotide metabolism and biosynthesis	PRIMARY	SENSITIVITY
D01	GWAS_BLINDED_UNIT_D01	stable_domain	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009168	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009127;GO_BP::GO:0009168	HGNC:470	AMPD3	0	1	2	0	1	0	1	0	2026-09-09T09:54:35.492033+00:00	Purine nucleotide metabolism and biosynthesis	PRIMARY	
D01	GWAS_BLINDED_UNIT_D01	stable_domain	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009168	GO_BP::GO:0006144;GO_BP::GO:0006167;GO_BP::GO:0006177;GO_BP::GO:0009113;GO_BP::GO:0009127;GO_BP::GO:0009168	HGNC:626	APRT	0	5	6	0	1	1	1	0	2026-09-09T09:54:35.492033+00:00	Purine nucleotide metabolism and biosynthesis	PRIMARY	SENSITIVITY
