metric	value
MAR02_status	PASS
raw26_gene_n	26
raw26_tier1_pathway_n	39
representative_pathway_n	30
primary_higher_order_unit_n	7
secondary_standalone_n	13
stable_domain_n	1
small_module_n	6
primary_network_threshold	0.20
sensitivity_thresholds	0.15|0.25|0.30
ALL_DOWNSTREAM_EXACT_SAME	FALSE
legacy_tier1_pathway_n	40
legacy_standalone_n	11
tier1_added_vs_legacy	GO_BP::GO:0032490
tier1_removed_vs_legacy	GO_BP::GO:0070661|Reactome::R-HSA-176974
standalone_added_vs_legacy	GO_BP::GO:0032490|GO_BP::GO:1902969
MAR03_primary_family_n	7
MAR03_secondary_family_n	13
snp_harmonization_rerun	NO
magma_gene_mapping_rerun	NO
gene_level_results_reuse	YES
gene_set_models_rerun	YES
matched_continuous_tests_rerun	YES
