dataset	target_id	biological_label	frozen_n	mapped_n	coverage	NGENES	beta	BETA_STD	SE	P_one	q_BH	primary_status
PGC	D01	Purine nucleotide metabolism and biosynthesis	27	27	1.0	25	0.31051	0.011513	0.1782	0.040722	0.285054	SUPPORTIVE_PENDING_MAR05
PGC	M01	Purine nucleotide catabolism	17	17	1.0	16	-0.0401	-0.0011897	0.22937	0.56939	0.874265	SUPPORTIVE_PENDING_MAR05
PGC	M02	Amino-acid transport	34	34	1.0	31	0.10315	0.004258	0.16061	0.26037	0.60753	SUPPORTIVE_PENDING_MAR05
PGC	M03	Purine salvage	23	23	1.0	22	-0.11644	-0.0040501	0.20061	0.71917	0.874265	SUPPORTIVE_PENDING_MAR05
PGC	M04	Lymphocyte and T-cell proliferation	42	42	1.0	39	-0.10279	-0.0047584	0.15285	0.74937	0.874265	SUPPORTIVE_PENDING_MAR05
PGC	M05	Lymphocyte and T-cell activation	387	387	1.0	375	-0.10041	-0.014279	0.050057	0.97756	0.97756	SUPPORTIVE_PENDING_MAR05
PGC	M06	CCT/TriC-mediated actin folding	28	28	1.0	26	0.1821	0.0068852	0.17307	0.14637	0.512295	SUPPORTIVE_PENDING_MAR05
SPARK	D01	Purine nucleotide metabolism and biosynthesis	27	27	1.0	25	0.038141	0.0014138	0.17533	0.4139	0.7191216666666667	SUPPORTIVE_PENDING_MAR05
SPARK	M01	Purine nucleotide catabolism	17	17	1.0	16	-0.12776	-0.0037897	0.21112	0.72746	0.72746	SUPPORTIVE_PENDING_MAR05
SPARK	M02	Amino-acid transport	34	34	1.0	31	-0.033711	-0.0013913	0.14293	0.59323	0.7191216666666667	SUPPORTIVE_PENDING_MAR05
SPARK	M03	Purine salvage	23	23	1.0	22	-0.05962	-0.0020734	0.2014	0.61639	0.7191216666666667	SUPPORTIVE_PENDING_MAR05
SPARK	M04	Lymphocyte and T-cell proliferation	42	42	1.0	39	-0.024853	-0.0011502	0.14963	0.56596	0.7191216666666667	SUPPORTIVE_PENDING_MAR05
SPARK	M05	Lymphocyte and T-cell activation	387	387	1.0	374	0.0064059	0.00090957	0.047041	0.44584	0.7191216666666667	SUPPORTIVE_PENDING_MAR05
SPARK	M06	CCT/TriC-mediated actin folding	28	28	1.0	27	0.010287	0.00039625	0.16008	0.47438	0.7191216666666667	SUPPORTIVE_PENDING_MAR05
