dataset	family	target_id	frozen_n	common_scored_n	observed_meanZ	meanZ_percentile	P_emp_meanZ	q_BH_meanZ	observed_medianZ	medianZ_percentile	P_emp_medianZ	q_BH_medianZ	matched_set_n	meanZ_status	medianZ_status	biological_label
PGC	A	D01	27	25	0.389221	0.7039	0.2961703829617038	0.871012898710129	0.34307	0.6386	0.3614638536146385	0.6950304969503049	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Purine nucleotide metabolism and biosynthesis
SPARK	A	D01	27	25	0.01880384	0.3986	0.6014398560143985	0.8284171582841716	-0.054013	0.3087	0.6913308669133087	0.9094090590940906	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Purine nucleotide metabolism and biosynthesis
PGC	A	M01	17	16	0.2013493125	0.4226	0.5774422557744225	0.871012898710129	0.365455	0.648	0.3520647935206479	0.6950304969503049	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Purine nucleotide catabolism
SPARK	A	M01	17	16	-0.1876165	0.1716	0.8284171582841716	0.8284171582841716	-0.132095	0.2888	0.7112288771122888	0.9094090590940906	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Purine nucleotide catabolism
PGC	A	M02	34	31	0.121558064516129	0.2524	0.7476252374762524	0.871012898710129	0.12603	0.3116	0.6884311568843116	0.9125087491250876	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Amino-acid transport
SPARK	A	M02	34	31	-0.0371634935483871	0.2946	0.7054294570542946	0.8284171582841716	0.0089287	0.4069	0.5931406859314069	0.9094090590940906	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Amino-acid transport
PGC	A	M03	23	22	0.0971117727272727	0.2185	0.7815218478152185	0.871012898710129	0.0247694999999999	0.1896	0.8104189581041896	0.9125087491250876	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Purine salvage
SPARK	A	M03	23	22	0.0520032272727272	0.4543	0.5457454254574543	0.8284171582841716	-0.125275	0.2137	0.7863213678632137	0.9094090590940906	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Purine salvage
PGC	A	M04	42	39	0.1681326205128205	0.3586	0.6414358564143585	0.871012898710129	0.26745	0.6236	0.3764623537646235	0.6950304969503049	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Lymphocyte and T-cell proliferation
SPARK	A	M04	42	39	0.0913304615384615	0.5943	0.4057594240575942	0.8284171582841716	0.36324	0.9513	0.0487951204879512	0.3415658434156584	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Lymphocyte and T-cell proliferation
