dataset	target_id	biological_label	frozen_n	mapped_n	coverage	NGENES	beta	BETA_STD	SE	P_one	q_BH	primary_status
PGC	D01	Purine nucleotide metabolism and biosynthesis	27	27	1.0	25	0.26781	0.0099296	0.16695	0.054348	0.380436	PRIMARY
PGC	M01	Purine nucleotide catabolism	17	17	1.0	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	PRIMARY
PGC	M02	Amino-acid transport	34	34	1.0	31	0.099343	0.0041009	0.16056	0.26805	0.62545	PRIMARY
PGC	M03	Purine salvage	23	23	1.0	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	PRIMARY
PGC	M04	Lymphocyte and T-cell proliferation	42	42	1.0	39	-0.19325	-0.0089456	0.14588	0.90736	0.98942	PRIMARY
PGC	M05	Lymphocyte and T-cell activation	387	387	1.0	375	-0.11016	-0.015665	0.047785	0.98942	0.98942	PRIMARY
PGC	M06	CCT/TriC-mediated actin folding	28	28	1.0	26	0.18612	0.0070373	0.17307	0.14111	0.493885	PRIMARY
SPARK	D01	Purine nucleotide metabolism and biosynthesis	27	27	1.0	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	PRIMARY
SPARK	M01	Purine nucleotide catabolism	17	17	1.0	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	PRIMARY
SPARK	M02	Amino-acid transport	34	34	1.0	31	-0.033843	-0.0013967	0.14289	0.59361	0.7205333333333334	PRIMARY
SPARK	M03	Purine salvage	23	23	1.0	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	PRIMARY
SPARK	M04	Lymphocyte and T-cell proliferation	42	42	1.0	39	-0.019017	-0.00088011	0.14331	0.55278	0.7205333333333334	PRIMARY
SPARK	M05	Lymphocyte and T-cell activation	387	387	1.0	374	0.0038955	0.00055311	0.045048	0.46555	0.7205333333333334	PRIMARY
SPARK	M06	CCT/TriC-mediated actin folding	28	28	1.0	27	0.010618	0.00040901	0.16004	0.47355	0.7205333333333334	PRIMARY
