dataset	target_id	sensitivity_type	NGENES	beta	BETA_STD	SE	P_one	q_BH	biological_label
PGC	D01	COMPACT_W10	19	0.31685	0.010243	0.18229	0.041098	0.143843	Purine nucleotide metabolism and biosynthesis
PGC	M01	COMPACT_W10	8	-0.14785	-0.0031024	0.34257	0.66698	0.7781433333333334	Purine nucleotide catabolism
PGC	M02	COMPACT_W10	8	0.6699	0.014057	0.2529	0.0040425	0.0282975	Amino-acid transport
PGC	M03	COMPACT_W10	9	0.27636	0.0061506	0.27127	0.15416	0.3597066666666666	Purine salvage
PGC	M04	COMPACT_W10	18	0.0054303	0.00017087	0.2122	0.48979	0.6857059999999999	Lymphocyte and T-cell proliferation
PGC	M05	COMPACT_W10	251	-0.12926	-0.01509	0.05912	0.9856	0.9856	Lymphocyte and T-cell activation
PGC	M06	COMPACT_W10	10	0.13262	0.0031112	0.23237	0.28409	0.4971575	CCT/TriC-mediated actin folding
PGC	D01	EXPANDED_REMOVE_RAW26_W10	24	0.26429	0.0096012	0.16979	0.059794	0.418558	Purine nucleotide metabolism and biosynthesis
PGC	M01	EXPANDED_REMOVE_RAW26_W10	15	-0.023782	-0.00068321	0.23307	0.54064	0.7741300000000001	Purine nucleotide catabolism
PGC	M02	EXPANDED_REMOVE_RAW26_W10	30	0.062523	0.002539	0.16246	0.35018	0.7741300000000001	Amino-acid transport
PGC	M03	EXPANDED_REMOVE_RAW26_W10	21	-0.025644	-0.00087151	0.19263	0.55295	0.7741300000000001	Purine salvage
PGC	M04	EXPANDED_REMOVE_RAW26_W10	36	-0.2158	-0.0095983	0.15028	0.92448	0.99109	Lymphocyte and T-cell proliferation
PGC	M05	EXPANDED_REMOVE_RAW26_W10	366	-0.11468	-0.016115	0.048396	0.99109	0.99109	Lymphocyte and T-cell activation
PGC	M06	EXPANDED_REMOVE_RAW26_W10	25	0.1891	0.0070114	0.17571	0.14092	0.49322	CCT/TriC-mediated actin folding
PGC	D01	EXPANDED_W0	25	0.2567	0.0095922	0.16368	0.058417	0.408919	Purine nucleotide metabolism and biosynthesis
PGC	M01	EXPANDED_W0	16	-0.091356	-0.0027316	0.20115	0.67515	0.94052	Purine nucleotide catabolism
PGC	M02	EXPANDED_W0	31	0.0070476	0.0002932	0.15445	0.4818	0.94052	Amino-acid transport
PGC	M03	EXPANDED_W0	21	-0.054999	-0.0018838	0.1863	0.61608	0.94052	Purine salvage
PGC	M04	EXPANDED_W0	39	-0.17904	-0.0083526	0.15116	0.88187	0.94052	Lymphocyte and T-cell proliferation
PGC	M05	EXPANDED_W0	369	-0.073064	-0.010387	0.046858	0.94052	0.94052	Lymphocyte and T-cell activation
PGC	M06	EXPANDED_W0	26	0.017789	0.00067787	0.14593	0.45149	0.94052	CCT/TriC-mediated actin folding
PGC	D01	EXPANDED_W50	25	0.053243	0.0019679	0.18751	0.38823	0.8672650000000001	Purine nucleotide metabolism and biosynthesis
PGC	M01	EXPANDED_W50	16	-0.23002	-0.0068028	0.19565	0.88012	0.88012	Purine nucleotide catabolism
PGC	M02	EXPANDED_W50	31	-0.0099053	-0.00040761	0.15642	0.52525	0.8672650000000001	Amino-acid transport
PGC	M03	EXPANDED_W50	22	-0.13461	-0.0046674	0.20588	0.74337	0.8672650000000001	Purine salvage
PGC	M04	EXPANDED_W50	39	-0.015187	-0.0007008	0.1562	0.53873	0.8672650000000001	Lymphocyte and T-cell proliferation
PGC	M05	EXPANDED_W50	375	-0.019115	-0.0027098	0.045953	0.66128	0.8672650000000001	Lymphocyte and T-cell activation
PGC	M06	EXPANDED_W50	27	0.02499	0.00095982	0.18021	0.44486	0.8672650000000001	CCT/TriC-mediated actin folding
PGC	D01	EXPANDED_MHCEXCLUDED	25	0.26774	0.0099929	0.16688	0.05432	0.38024	Purine nucleotide metabolism and biosynthesis
PGC	M01	EXPANDED_MHCEXCLUDED	16	0.00050823	1.5179e-05	0.22579	0.4991	0.72583	Purine nucleotide catabolism
PGC	M02	EXPANDED_MHCEXCLUDED	31	0.099601	0.0041388	0.16049	0.26744	0.6240266666666666	Amino-acid transport
PGC	M03	EXPANDED_MHCEXCLUDED	22	-0.0087194	-0.00030531	0.18843	0.51845	0.72583	Purine salvage
PGC	M04	EXPANDED_MHCEXCLUDED	38	-0.21986	-0.010113	0.15042	0.92807	0.96563	Lymphocyte and T-cell proliferation
PGC	M05	EXPANDED_MHCEXCLUDED	364	-0.088314	-0.012457	0.048518	0.96563	0.96563	Lymphocyte and T-cell activation
PGC	M06	EXPANDED_MHCEXCLUDED	25	0.21167	0.0079002	0.17654	0.11528	0.4034799999999999	CCT/TriC-mediated actin folding
SPARK	D01	COMPACT_W10	19	-0.081358	-0.0026296	0.16875	0.68513	0.72495	Purine nucleotide metabolism and biosynthesis
SPARK	M01	COMPACT_W10	8	0.32355	0.0067878	0.33135	0.16443	0.5755049999999999	Purine nucleotide catabolism
SPARK	M02	COMPACT_W10	8	0.087425	0.0018341	0.26682	0.37159	0.6502825	Amino-acid transport
SPARK	M03	COMPACT_W10	9	0.12284	0.0027333	0.2899	0.33588	0.6502825	Purine salvage
SPARK	M04	COMPACT_W10	18	-0.12875	-0.0040505	0.21544	0.72495	0.72495	Lymphocyte and T-cell proliferation
SPARK	M05	COMPACT_W10	250	0.060877	0.0070917	0.055064	0.13447	0.5755049999999999	Lymphocyte and T-cell activation
SPARK	M06	COMPACT_W10	10	-0.019611	-0.00045996	0.25791	0.53031	0.72495	CCT/TriC-mediated actin folding
SPARK	D01	EXPANDED_REMOVE_RAW26_W10	24	-0.031059	-0.0011281	0.15762	0.5781	0.80934	Purine nucleotide metabolism and biosynthesis
SPARK	M01	EXPANDED_REMOVE_RAW26_W10	15	-0.19539	-0.0056119	0.21465	0.81865	0.81865	Purine nucleotide catabolism
SPARK	M02	EXPANDED_REMOVE_RAW26_W10	30	-0.0071407	-0.00028992	0.14436	0.51973	0.80934	Amino-acid transport
SPARK	M03	EXPANDED_REMOVE_RAW26_W10	21	-0.0982	-0.0033366	0.18255	0.70469	0.81865	Purine salvage
SPARK	M04	EXPANDED_REMOVE_RAW26_W10	36	-0.01018	-0.0004527	0.14792	0.52743	0.80934	Lymphocyte and T-cell proliferation
SPARK	M05	EXPANDED_REMOVE_RAW26_W10	365	0.0057449	0.00080604	0.045561	0.44983	0.80934	Lymphocyte and T-cell activation
SPARK	M06	EXPANDED_REMOVE_RAW26_W10	26	0.0254	0.00096016	0.16229	0.43782	0.80934	CCT/TriC-mediated actin folding
SPARK	D01	EXPANDED_W0	25	0.078733	0.0029347	0.15143	0.30156	0.86516	Purine nucleotide metabolism and biosynthesis
SPARK	M01	EXPANDED_W0	16	-0.00034649	-1.0335e-05	0.20439	0.50068	0.86516	Purine nucleotide catabolism
SPARK	M02	EXPANDED_W0	31	-0.1671	-0.0069346	0.15138	0.86516	0.86516	Amino-acid transport
SPARK	M03	EXPANDED_W0	22	-0.088488	-0.0030944	0.18142	0.68714	0.86516	Purine salvage
SPARK	M04	EXPANDED_W0	39	-0.056479	-0.0026283	0.13674	0.66021	0.86516	Lymphocyte and T-cell proliferation
SPARK	M05	EXPANDED_W0	372	-0.03605	-0.005133	0.044833	0.78932	0.86516	Lymphocyte and T-cell activation
SPARK	M06	EXPANDED_W0	27	0.0033886	0.00013125	0.14478	0.49066	0.86516	CCT/TriC-mediated actin folding
SPARK	D01	EXPANDED_W50	25	0.12788	0.0047281	0.14948	0.19615	0.500815	Purine nucleotide metabolism and biosynthesis
SPARK	M01	EXPANDED_W50	16	-0.22298	-0.0065973	0.18783	0.88241	0.89597	Purine nucleotide catabolism
SPARK	M02	EXPANDED_W50	31	0.11655	0.0047981	0.15448	0.22528	0.500815	Amino-acid transport
SPARK	M03	EXPANDED_W50	22	-0.20119	-0.0069789	0.15981	0.89597	0.89597	Purine salvage
SPARK	M04	EXPANDED_W50	39	0.080694	0.0037251	0.14292	0.28618	0.500815	Lymphocyte and T-cell proliferation
SPARK	M05	EXPANDED_W50	374	0.035677	0.0050531	0.044496	0.21134	0.500815	Lymphocyte and T-cell activation
SPARK	M06	EXPANDED_W50	27	-0.13737	-0.0052781	0.14329	0.83113	0.89597	CCT/TriC-mediated actin folding
SPARK	D01	EXPANDED_MHCEXCLUDED	25	0.00020075	7.4907e-06	0.15509	0.49948	0.7212333333333333	Purine nucleotide metabolism and biosynthesis
SPARK	M01	EXPANDED_MHCEXCLUDED	16	-0.12887	-0.003848	0.20831	0.73192	0.73192	Purine nucleotide catabolism
SPARK	M02	EXPANDED_MHCEXCLUDED	31	-0.033847	-0.0014062	0.14295	0.59358	0.7212333333333333	Amino-acid transport
SPARK	M03	EXPANDED_MHCEXCLUDED	22	-0.053723	-0.0018807	0.17862	0.6182	0.7212333333333333	Purine salvage
SPARK	M04	EXPANDED_MHCEXCLUDED	38	-0.0026359	-0.00012122	0.14511	0.50725	0.7212333333333333	Lymphocyte and T-cell proliferation
SPARK	M05	EXPANDED_MHCEXCLUDED	363	0.0077272	0.0010883	0.045763	0.43296	0.7212333333333333	Lymphocyte and T-cell activation
SPARK	M06	EXPANDED_MHCEXCLUDED	26	-0.026669	-0.0010148	0.16169	0.5655	0.7212333333333333	CCT/TriC-mediated actin folding
