dataset	target_id	biological_label	frozen_n	mapped_n	coverage	NGENES	beta	BETA_STD	SE	P_one	q_BH	primary_status
PGC	SA001	DNA recombinase assembly	10	10	1.0	10	-0.15169	-0.0035586	0.27417	0.70996	0.88973	SECONDARY_COMPLETENESS
PGC	SA002	DNA topological change	10	10	1.0	10	-0.34123	-0.0080049	0.28285	0.88616	0.88973	SECONDARY_COMPLETENESS
PGC	SA003	DNA recombination	215	215	1.0	209	-0.072608	-0.0077442	0.059264	0.88973	0.88973	SECONDARY_COMPLETENESS
PGC	SA004	SRP-dependent cotranslational protein targeting to membrane	18	18	1.0	18	0.21958	0.0069096	0.21217	0.15036	0.88973	SECONDARY_COMPLETENESS
PGC	SA005	detection of molecule of bacterial origin	13	13	1.0	13	-0.11907	-0.0031846	0.21613	0.70916	0.88973	SECONDARY_COMPLETENESS
PGC	SA006	protein localization to phagophore assembly site	16	16	1.0	15	-0.051019	-0.0014657	0.2187	0.59223	0.88973	SECONDARY_COMPLETENESS
PGC	SA007	locomotor rhythm	11	11	1.0	11	-0.30234	-0.0074385	0.30205	0.84157	0.88973	SECONDARY_COMPLETENESS
PGC	SA008	purine ribonucleoside metabolic process	25	25	1.0	24	0.050885	0.0018486	0.20038	0.39977	0.88973	SECONDARY_COMPLETENESS
PGC	SA009	response to hydroxyurea	10	10	1.0	9	-0.1497	-0.0033318	0.33447	0.67277	0.88973	SECONDARY_COMPLETENESS
PGC	SA010	mitotic DNA replication	14	14	1.0	13	0.12428	0.003324	0.20835	0.27542	0.88973	SECONDARY_COMPLETENESS
PGC	SA011	Ribavirin ADME	11	11	1.0	11	-0.33862	-0.0083312	0.3175	0.8569	0.88973	SECONDARY_COMPLETENESS
PGC	SA012	Specification of primordial germ cells	12	12	1.0	12	0.20264	0.0052072	0.21011	0.16741	0.88973	SECONDARY_COMPLETENESS
PGC	SA013	GBP-mediated host defense	11	11	1.0	11	0.1539	0.0037865	0.3159	0.31307	0.88973	SECONDARY_COMPLETENESS
SPARK	SA001	DNA recombinase assembly	10	10	1.0	10	-0.57695	-0.013532	0.25137	0.98913	0.98913	SECONDARY_COMPLETENESS
SPARK	SA002	DNA topological change	10	10	1.0	10	-0.17239	-0.0040432	0.23349	0.76984	0.98913	SECONDARY_COMPLETENESS
SPARK	SA003	DNA recombination	215	215	1.0	209	0.0027336	0.0002915	0.056771	0.4808	0.9023733333333336	SECONDARY_COMPLETENESS
SPARK	SA004	SRP-dependent cotranslational protein targeting to membrane	18	18	1.0	18	0.14877	0.0046804	0.19027	0.21714	0.705705	SECONDARY_COMPLETENESS
SPARK	SA005	detection of molecule of bacterial origin	13	13	1.0	13	-0.033368	-0.00089223	0.20373	0.56505	0.9023733333333336	SECONDARY_COMPLETENESS
SPARK	SA006	protein localization to phagophore assembly site	16	16	1.0	15	0.12014	0.0034506	0.22063	0.29304	0.7619040000000001	SECONDARY_COMPLETENESS
SPARK	SA007	locomotor rhythm	11	11	1.0	11	0.19021	0.0046788	0.23956	0.2136	0.705705	SECONDARY_COMPLETENESS
SPARK	SA008	purine ribonucleoside metabolic process	25	25	1.0	24	0.20886	0.007586	0.16261	0.099505	0.6467824999999999	SECONDARY_COMPLETENESS
SPARK	SA009	response to hydroxyurea	10	10	1.0	9	-0.08391	-0.0018671	0.26394	0.62472	0.9023733333333336	SECONDARY_COMPLETENESS
SPARK	SA010	mitotic DNA replication	14	14	1.0	13	-0.28722	-0.0076801	0.18454	0.94019	0.98913	SECONDARY_COMPLETENESS
SPARK	SA011	Ribavirin ADME	11	11	1.0	11	-0.06606	-0.001625	0.28885	0.59045	0.9023733333333336	SECONDARY_COMPLETENESS
SPARK	SA012	Specification of primordial germ cells	12	12	1.0	12	-0.31075	-0.0079835	0.21683	0.92408	0.98913	SECONDARY_COMPLETENESS
SPARK	SA013	GBP-mediated host defense	11	11	1.0	11	0.38924	0.0095744	0.28503	0.086039	0.6467824999999999	SECONDARY_COMPLETENESS
