dataset	family	target_id	biological_label	inference_role	mar05_gate_required	frozen_n	mapped_n	coverage	beta	SE	P_one	q_BH	CI95_low	CI95_high	upper95_one	family_m	alpha_family_one	z_family_one	z_power_80	MDE80	SESOI_prespecified	equivalence_allowed	detection_class
PGC	A_CONDITIONAL_SUPPORTIVE	D01	Purine nucleotide metabolism and biosynthesis	SUPPORTIVE_PENDING_MAR05	YES	27	27	1.0	0.31051	0.1782	0.040722	0.285054	-0.03875558204503754	0.6597755820450375	0.6036229163227522	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.5865664869420997	NO	NO	NOT_DETECTED
PGC	A_CONDITIONAL_SUPPORTIVE	M01	Purine nucleotide catabolism	SUPPORTIVE_PENDING_MAR05	YES	17	17	1.0	-0.0401	0.22937	0.56939	0.874265	-0.48965693913395203	0.4094569391339521	0.33718007641385905	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.7549986257570673	NO	NO	NOT_DETECTED
PGC	A_CONDITIONAL_SUPPORTIVE	M02	Amino-acid transport	SUPPORTIVE_PENDING_MAR05	YES	34	34	1.0	0.10315	0.16061	0.26037	0.60753	-0.21163981555697797	0.417939815556978	0.36732994102467587	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.5286669105935501	NO	NO	NOT_DETECTED
PGC	A_CONDITIONAL_SUPPORTIVE	M03	Purine salvage	SUPPORTIVE_PENDING_MAR05	YES	23	23	1.0	-0.11644	0.20061	0.71917	0.874265	-0.5096283749385802	0.2767483749385802	0.21353408610273472	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.6603316663605758	NO	NO	NOT_DETECTED
PGC	A_CONDITIONAL_SUPPORTIVE	M04	Lymphocyte and T-cell proliferation	SUPPORTIVE_PENDING_MAR05	YES	42	42	1.0	-0.10279	0.15285	0.74937	0.874265	-0.4023704950369472	0.19679049503694723	0.14862587687953244	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.5031239479747471	NO	NO	NOT_DETECTED
PGC	A_CONDITIONAL_SUPPORTIVE	M05	Lymphocyte and T-cell activation	SUPPORTIVE_PENDING_MAR05	YES	387	387	1.0	-0.10041	0.050057	0.97756	0.97756	-0.19851991717412146	-0.002300082825878541	-0.0180735619956902	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.16476856698575018	NO	NO	NOT_DETECTED
PGC	A_CONDITIONAL_SUPPORTIVE	M06	CCT/TriC-mediated actin folding	SUPPORTIVE_PENDING_MAR05	YES	28	28	1.0	0.1821	0.17307	0.14637	0.512295	-0.15711096680434708	0.5213109668043471	0.46677481721649117	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.5696804820149787	NO	NO	NOT_DETECTED
SPARK	A_CONDITIONAL_SUPPORTIVE	D01	Purine nucleotide metabolism and biosynthesis	SUPPORTIVE_PENDING_MAR05	YES	27	27	1.0	0.038141	0.17533	0.4139	0.7191216666666667	-0.30549948540940763	0.3817814854094076	0.3265331864134015	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.5771195407158156	NO	NO	NOT_DETECTED
SPARK	A_CONDITIONAL_SUPPORTIVE	M01	Purine nucleotide catabolism	SUPPORTIVE_PENDING_MAR05	YES	17	17	1.0	-0.12776	0.21112	0.72746	0.72746	-0.5415475964160962	0.2860275964160961	0.21950149772199465	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.6949265809383619	NO	NO	NOT_DETECTED
SPARK	A_CONDITIONAL_SUPPORTIVE	M02	Amino-acid transport	SUPPORTIVE_PENDING_MAR05	YES	34	34	1.0	-0.033711	0.14293	0.59323	0.7191216666666667	-0.31384865231030984	0.24642665231030986	0.20138792890017385	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.47047108854452474	NO	NO	NOT_DETECTED
SPARK	A_CONDITIONAL_SUPPORTIVE	M03	Purine salvage	SUPPORTIVE_PENDING_MAR05	YES	23	23	1.0	-0.05962	0.2014	0.61639	0.7191216666666667	-0.4543567464863668	0.3351167464863668	0.2716535204680264	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.6629320452869746	NO	NO	NOT_DETECTED
SPARK	A_CONDITIONAL_SUPPORTIVE	M04	Lymphocyte and T-cell proliferation	SUPPORTIVE_PENDING_MAR05	YES	42	42	1.0	-0.024853	0.14963	0.56596	0.7191216666666667	-0.3181224110067283	0.26841641100672825	0.2212664482007487	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.49252493513550155	NO	NO	NOT_DETECTED
SPARK	A_CONDITIONAL_SUPPORTIVE	M05	Lymphocyte and T-cell activation	SUPPORTIVE_PENDING_MAR05	YES	387	387	1.0	0.0064059	0.047041	0.44584	0.7191216666666667	-0.08579276579674866	0.09860456579674867	0.08378145946542417	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.15484104440091645	NO	NO	NOT_DETECTED
SPARK	A_CONDITIONAL_SUPPORTIVE	M06	CCT/TriC-mediated actin folding	SUPPORTIVE_PENDING_MAR05	YES	28	28	1.0	0.010287	0.16008	0.47438	0.7191216666666667	-0.3034640346451718	0.3240380346451718	0.2735951686023915	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.526922352579637	NO	NO	NOT_DETECTED
