dataset	family	target_id	biological_label	inference_role	mar05_gate_required	frozen_n	mapped_n	coverage	beta	SE	P_one	q_BH	CI95_low	CI95_high	upper95_one	family_m	alpha_family_one	z_family_one	z_power_80	MDE80	SESOI_prespecified	equivalence_allowed	detection_class
PGC	A_PRIMARY_HIGHER_ORDER	D01	Purine nucleotide metabolism and biosynthesis	PRIMARY	NO	27	27	1.0	0.26781	0.16695	0.054348	0.380436	-0.05940598721896195	0.5950259872189619	0.5424183130195481	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.5495357743826237	NO	NO	NOT_DETECTED
PGC	A_PRIMARY_HIGHER_ORDER	M01	Purine nucleotide catabolism	PRIMARY	NO	17	17	1.0	0.00015146	0.22589	0.49973	0.726348	-0.4425848044677527	0.4428877244677527	0.3717074457920679	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.7435437920053362	NO	NO	NOT_DETECTED
PGC	A_PRIMARY_HIGHER_ORDER	M02	Amino-acid transport	PRIMARY	NO	34	34	1.0	0.099343	0.16056	0.26805	0.62545	-0.21534881735775102	0.41403481735775105	0.3634406983433283	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.5285023296488414	NO	NO	NOT_DETECTED
PGC	A_PRIMARY_HIGHER_ORDER	M03	Purine salvage	PRIMARY	NO	23	23	1.0	-0.0088966	0.18851	0.51882	0.726348	-0.3783694107256455	0.36057621072564555	0.30117475721662196	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.6205030777410506	NO	NO	NOT_DETECTED
PGC	A_PRIMARY_HIGHER_ORDER	M04	Lymphocyte and T-cell proliferation	PRIMARY	NO	42	42	1.0	-0.19325	0.14588	0.90736	0.98942	-0.4791695460647031	0.09266954606470304	0.04670124709968068	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.4801813642823429	NO	NO	NOT_DETECTED
PGC	A_PRIMARY_HIGHER_ORDER	M05	Lymphocyte and T-cell activation	PRIMARY	NO	387	387	1.0	-0.11016	0.047785	0.98942	0.98942	-0.20381687900124645	-0.016503120998753534	-0.03156066943612393	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.15729000885818312	NO	NO	NOT_DETECTED
PGC	A_PRIMARY_HIGHER_ORDER	M06	CCT/TriC-mediated actin folding	PRIMARY	NO	28	28	1.0	0.18612	0.17307	0.14111	0.493885	-0.15309096680434708	0.5253309668043471	0.4707948172164912	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.5696804820149787	NO	NO	NOT_DETECTED
SPARK	A_PRIMARY_HIGHER_ORDER	D01	Purine nucleotide metabolism and biosynthesis	PRIMARY	NO	27	27	1.0	0.00050345	0.15502	0.4987	0.7205333333333334	-0.3033301668833991	0.3043370668833991	0.2554886592500171	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.5102667609751083	NO	NO	NOT_DETECTED
SPARK	A_PRIMARY_HIGHER_ORDER	M01	Purine nucleotide catabolism	PRIMARY	NO	17	17	1.0	-0.12875	0.20822	0.73181	0.73181	-0.53685370086093	0.2793537008609299	0.21374142220383538	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.6853808861452524	NO	NO	NOT_DETECTED
SPARK	A_PRIMARY_HIGHER_ORDER	M02	Amino-acid transport	PRIMARY	NO	34	34	1.0	-0.033843	0.14289	0.59361	0.7205333333333334	-0.31390225375092823	0.2462162537509282	0.20119013475509573	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.47033942378875765	NO	NO	NOT_DETECTED
SPARK	A_PRIMARY_HIGHER_ORDER	M03	Purine salvage	PRIMARY	NO	23	23	1.0	-0.053418	0.17854	0.6176	0.7205333333333334	-0.4033499697997812	0.2965139697997812	0.24025416655591572	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.5876856373661195	NO	NO	NOT_DETECTED
SPARK	A_PRIMARY_HIGHER_ORDER	M04	Lymphocyte and T-cell proliferation	PRIMARY	NO	42	42	1.0	-0.019017	0.14331	0.55278	0.7205333333333334	-0.2998994386244351	0.26186543862443507	0.21670697327841537	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.47172190372431144	NO	NO	NOT_DETECTED
SPARK	A_PRIMARY_HIGHER_ORDER	M05	Lymphocyte and T-cell activation	PRIMARY	NO	387	387	1.0	0.0038955	0.045048	0.46555	0.7205333333333334	-0.08439695757556033	0.09218795757556032	0.07799286618690988	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.14828084794482438	NO	NO	NOT_DETECTED
SPARK	A_PRIMARY_HIGHER_ORDER	M06	CCT/TriC-mediated actin folding	PRIMARY	NO	28	28	1.0	0.010618	0.16004	0.47355	0.7205333333333334	-0.30305463608579014	0.3242906360857902	0.2738603744573135	7	0.0071428571428571435	2.449997660602729	0.8416212335729144	0.52679068782387	NO	NO	NOT_DETECTED
