dataset	family	target_id	biological_label	inference_role	mar05_gate_required	frozen_n	mapped_n	coverage	beta	SE	P_one	q_BH	CI95_low	CI95_high	upper95_one	family_m	alpha_family_one	z_family_one	z_power_80	MDE80	SESOI_prespecified	equivalence_allowed	detection_class
PGC	B_SECONDARY_STANDALONE	SA001	DNA recombinase assembly	SECONDARY_COMPLETENESS	NO	10	10	1.0	-0.15169	0.27417	0.70996	0.88973	-0.6890533256413466	0.3856733256413466	0.299279518901285	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.961488511127554	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA002	DNA topological change	SECONDARY_COMPLETENESS	NO	10	10	1.0	-0.34123	0.28285	0.88616	0.88973	-0.895605813027154	0.21314581302715413	0.12401684838322374	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.9919284581552635	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA003	DNA recombination	SECONDARY_COMPLETENESS	NO	215	215	1.0	-0.072608	0.059264	0.88973	0.88973	-0.18876330557978174	0.04354730557978173	0.024872605347651996	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.20783329730992942	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA004	SRP-dependent cotranslational protein targeting to membrane	SECONDARY_COMPLETENESS	NO	18	18	1.0	0.21958	0.21217	0.15036	0.88973	-0.19626555859986317	0.6354255585998632	0.5685685940302937	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.7440603180724846	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA005	detection of molecule of bacterial origin	SECONDARY_COMPLETENESS	NO	13	13	1.0	-0.11907	0.21613	0.70916	0.88973	-0.5426770159786417	0.30453701597864175	0.23643221439302153	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.7579476671772922	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA006	protein localization to phagophore assembly site	SECONDARY_COMPLETENESS	NO	16	16	1.0	-0.051019	0.2187	0.59223	0.88973	-0.4796631234189097	0.37762512341890975	0.30871048821428687	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.7669604164700589	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA007	locomotor rhythm	SECONDARY_COMPLETENESS	NO	11	11	1.0	-0.30234	0.30205	0.84157	0.88973	-0.8943471215303231	0.2896671215303232	0.19448803802069198	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	1.059261059875543	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA008	purine ribonucleoside metabolic process	SECONDARY_COMPLETENESS	NO	25	25	1.0	0.050885	0.20038	0.39977	0.88973	-0.3418525832221359	0.44362258322213594	0.3804807697685359	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.7027138923286255	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA009	response to hydroxyurea	SECONDARY_COMPLETENESS	NO	10	10	1.0	-0.1497	0.33447	0.67277	0.88973	-0.8052491539091118	0.5058491539091117	0.4004541926064587	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	1.1729549634053067	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA010	mitotic DNA replication	SECONDARY_COMPLETENESS	NO	14	14	1.0	0.12428	0.20835	0.27542	0.88973	-0.28407849617892017	0.5326384961789201	0.4669852531753391	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.7306639358552207	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA011	Ribavirin ADME	SECONDARY_COMPLETENESS	NO	11	11	1.0	-0.33862	0.3175	0.8569	0.88973	-0.960908565091467	0.28366856509146704	0.18362102655709228	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	1.1134427628223305	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA012	Specification of primordial germ cells	SECONDARY_COMPLETENESS	NO	12	12	1.0	0.20264	0.21011	0.16741	0.88973	-0.20916803279171065	0.6144480327917106	0.5482401955587737	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.7368360910129129	NO	NO	NOT_DETECTED
PGC	B_SECONDARY_STANDALONE	SA013	GBP-mediated host defense	SECONDARY_COMPLETENESS	NO	11	11	1.0	0.1539	0.3159	0.31307	0.88973	-0.46525262271620293	0.773052622716203	0.6735092607539699	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	1.1078317126789738	NO	NO	NOT_DETECTED
SPARK	B_SECONDARY_STANDALONE	SA001	DNA recombinase assembly	SECONDARY_COMPLETENESS	NO	10	10	1.0	-0.57695	0.25137	0.98913	0.98913	-1.0696261467938333	-0.0842738532061667	-0.1634831437932086	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.8815310465847219	NO	NO	NOT_DETECTED
SPARK	B_SECONDARY_STANDALONE	SA002	DNA topological change	SECONDARY_COMPLETENESS	NO	10	10	1.0	-0.17239	0.23349	0.76984	0.98913	-0.6300219907502571	0.28524199075025714	0.2116668733568991	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.8188275612327117	NO	NO	NOT_DETECTED
SPARK	B_SECONDARY_STANDALONE	SA003	DNA recombination	SECONDARY_COMPLETENESS	NO	215	215	1.0	0.0027336	0.056771	0.4808	0.9023733333333336	-0.10853551536632339	0.11400271536632339	0.09611358525566199	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.1990905798053119	NO	NO	NOT_DETECTED
SPARK	B_SECONDARY_STANDALONE	SA004	SRP-dependent cotranslational protein targeting to membrane	SECONDARY_COMPLETENESS	NO	18	18	1.0	0.14877	0.19027	0.21714	0.705705	-0.22415234733843598	0.5216923473384361	0.46173629960005647	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.6672590692352908	NO	NO	NOT_DETECTED
SPARK	B_SECONDARY_STANDALONE	SA005	detection of molecule of bacterial origin	SECONDARY_COMPLETENESS	NO	13	13	1.0	-0.033368	0.20373	0.56505	0.9023733333333336	-0.4326714625703451	0.3659354625703451	0.3017380294188233	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.7144620285662784	NO	NO	NOT_DETECTED
SPARK	B_SECONDARY_STANDALONE	SA006	protein localization to phagophore assembly site	SECONDARY_COMPLETENESS	NO	16	16	1.0	0.12014	0.22063	0.29304	0.7619040000000001	-0.31228685390907207	0.552566853909072	0.4830440557143032	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.7737287457054828	NO	NO	NOT_DETECTED
SPARK	B_SECONDARY_STANDALONE	SA007	locomotor rhythm	SECONDARY_COMPLETENESS	NO	11	11	1.0	0.19021	0.23956	0.2136	0.705705	-0.27931897213641527	0.6597389721364153	0.5842511348724946	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.8401144827140709	NO	NO	NOT_DETECTED
SPARK	B_SECONDARY_STANDALONE	SA008	purine ribonucleoside metabolic process	SECONDARY_COMPLETENESS	NO	25	25	1.0	0.20886	0.16261	0.099505	0.6467824999999999	-0.10984974352605814	0.5275697435260581	0.47632964827857877	13	0.0038461538461538464	2.665285106024977	0.8416212335729144	0.5702580398820132	NO	NO	NOT_DETECTED
