dataset	unit_i	unit_j	correlation
PGC	D01	M01	0.1991235626124286
PGC	D01	M02	-0.0015351727249976442
PGC	D01	M03	0.3402701545897585
PGC	D01	M04	-0.0017222830843575097
PGC	D01	M05	0.005052669705040661
PGC	D01	M06	-0.0014057341591625998
PGC	M01	M02	-0.0012278335780335273
PGC	M01	M03	0.1590338937465556
PGC	M01	M04	-0.0013774847399380065
PGC	M01	M05	0.008739519748771546
PGC	M01	M06	-0.0011243084079748849
PGC	M02	M03	-0.0014400005799867434
PGC	M02	M04	-0.0019181705824446863
PGC	M02	M05	-0.006003911048625424
PGC	M02	M06	-0.0015656182977894196
PGC	M03	M04	-0.001615511140858744
PGC	M03	M05	0.006075252393413216
PGC	M03	M06	-0.0013185864831622952
PGC	M04	M05	0.31948684231153707
PGC	M04	M06	-0.0017564394331246692
PGC	M05	M06	-0.005497689420999488
SPARK	D01	M01	0.19912394892887428
SPARK	D01	M02	-0.0015344957664409312
SPARK	D01	M03	0.34027052975430006
SPARK	D01	M04	-0.0017215234489662056
SPARK	D01	M05	0.005076017315295529
SPARK	D01	M06	-0.0014319203126649605
SPARK	M01	M02	-0.0012272922796948648
SPARK	M01	M03	0.159034275716192
SPARK	M01	M04	-0.0013768773328911175
SPARK	M01	M05	0.00876431578771783
SPARK	M01	M06	-0.001145252260257449
SPARK	M02	M03	-0.0014393656415598297
SPARK	M02	M04	-0.001917324408449303
SPARK	M02	M05	-0.005993062116652078
SPARK	M02	M06	-0.0015947826723333705
SPARK	M03	M04	-0.0016147986574956235
SPARK	M03	M05	0.006098893271978083
SPARK	M03	M06	-0.001343149290194468
SPARK	M04	M05	0.3199240006409918
SPARK	M04	M06	-0.0017891582541114618
SPARK	M05	M06	-0.005592447739234159
