dataset	unit_id	biological_label	mapped_n	R2_on_other_units	VIF	VIF_class
PGC	D01	Purine nucleotide metabolism and biosynthesis	25	0.13736464256318892	1.1592383634393875	GREEN
PGC	M01	Purine nucleotide catabolism	16	0.04913886671476608	1.0516782787671537	GREEN
PGC	M02	Amino-acid transport	31	4.242342724036785e-05	1.0000424252270639	GREEN
PGC	M03	Purine salvage	22	0.12447863168166462	1.1421765775069064	GREEN
PGC	M04	Lymphocyte and T-cell proliferation	39	0.1021007515786786	1.1137106994556363	GREEN
PGC	M05	Lymphocyte and T-cell activation	375	0.10224160308054198	1.113885432240312	GREEN
PGC	M06	CCT/TriC-mediated actin folding	26	3.598574861185533e-05	1.0000359870436326	GREEN
SPARK	D01	Purine nucleotide metabolism and biosynthesis	25	0.13736504364909785	1.1592389024323524	GREEN
SPARK	M01	Purine nucleotide catabolism	16	0.04913941543693967	1.0516788856691544	GREEN
SPARK	M02	Amino-acid transport	31	4.238558691493921e-05	1.0000423873835291	GREEN
SPARK	M03	Purine salvage	22	0.12447906924402641	1.1421771483367555	GREEN
SPARK	M04	Lymphocyte and T-cell proliferation	39	0.10238043012297626	1.11405770725008	GREEN
SPARK	M05	Lymphocyte and T-cell activation	374	0.10252256879231736	1.1142341469850208	GREEN
SPARK	M06	CCT/TriC-mediated actin folding	27	3.7252481252303404e-05	1.0000372538690514	GREEN
