family	target_id	chromosome	target_chr_n	eligible_control_chr_n	global_hypothesis_union_excluded_n
A	D01	1	4	1830	801
A	D01	2	2	1156	801
A	D01	3	3	1012	801
A	D01	4	2	689	801
A	D01	7	1	822	801
A	D01	9	3	688	801
A	D01	10	1	688	801
A	D01	11	1	1209	801
A	D01	14	1	551	801
A	D01	16	1	752	801
A	D01	17	2	1072	801
A	D01	18	1	260	801
A	D01	20	1	505	801
A	D01	21	1	213	801
A	D01	22	1	411	801
A	M01	1	1	1830	801
A	M01	2	2	1156	801
A	M01	3	1	1012	801
A	M01	6	2	931	801
A	M01	8	1	599	801
A	M01	9	1	688	801
A	M01	10	1	688	801
A	M01	11	1	1209	801
A	M01	13	1	302	801
A	M01	14	1	551	801
A	M01	17	2	1072	801
A	M01	20	2	505	801
A	M02	1	1	1830	801
A	M02	2	2	1156	801
A	M02	3	2	1012	801
A	M02	4	1	689	801
A	M02	5	3	819	801
A	M02	6	1	931	801
A	M02	8	1	599	801
A	M02	11	3	1209	801
A	M02	12	5	966	801
A	M02	13	1	302	801
A	M02	14	3	551	801
A	M02	16	2	752	801
A	M02	17	2	1072	801
A	M02	19	3	1318	801
A	M02	22	1	411	801
A	M03	1	4	1830	801
A	M03	2	1	1156	801
A	M03	3	2	1012	801
A	M03	4	1	689	801
A	M03	6	1	931	801
A	M03	7	1	822	801
A	M03	8	1	599	801
A	M03	10	1	688	801
A	M03	11	2	1209	801
A	M03	14	3	551	801
A	M03	15	1	528	801
A	M03	16	1	752	801
A	M03	19	1	1318	801
A	M03	20	1	505	801
A	M03	22	1	411	801
A	M04	1	8	1830	801
A	M04	2	2	1156	801
A	M04	3	2	1012	801
A	M04	5	3	819	801
A	M04	6	2	931	801
A	M04	7	1	822	801
A	M04	8	1	599	801
A	M04	9	2	688	801
A	M04	10	2	688	801
A	M04	11	1	1209	801
A	M04	12	1	966	801
A	M04	13	1	302	801
A	M04	15	1	528	801
A	M04	16	2	752	801
A	M04	18	1	260	801
A	M04	19	8	1318	801
A	M04	20	1	505	801
A	M05	1	56	1830	801
A	M05	2	28	1156	801
A	M05	3	14	1012	801
A	M05	4	8	689	801
A	M05	5	18	819	801
A	M05	6	29	931	801
A	M05	7	13	822	801
A	M05	8	11	599	801
A	M05	9	30	688	801
A	M05	10	10	688	801
A	M05	11	28	1209	801
A	M05	12	21	966	801
A	M05	13	7	302	801
A	M05	14	8	551	801
A	M05	15	10	528	801
A	M05	16	17	752	801
A	M05	17	17	1072	801
A	M05	18	4	260	801
A	M05	19	30	1318	801
A	M05	20	9	505	801
A	M05	21	3	213	801
A	M05	22	3	411	801
A	M06	1	2	1830	801
A	M06	2	4	1156	801
A	M06	5	2	819	801
A	M06	6	4	931	801
A	M06	7	2	822	801
A	M06	9	1	688	801
A	M06	12	4	966	801
A	M06	13	1	302	801
A	M06	16	1	752	801
A	M06	17	1	1072	801
A	M06	18	1	260	801
A	M06	20	2	505	801
A	M06	21	1	213	801
B	SA001	8	1	599	801
B	SA001	9	1	688	801
B	SA001	10	1	688	801
B	SA001	12	1	966	801
B	SA001	13	1	302	801
B	SA001	15	1	528	801
B	SA001	17	2	1072	801
B	SA001	19	1	1318	801
B	SA001	22	1	411	801
B	SA002	2	1	1156	801
B	SA002	3	1	1012	801
B	SA002	4	1	689	801
B	SA002	8	1	599	801
B	SA002	13	2	302	801
B	SA002	17	2	1072	801
B	SA002	20	1	505	801
B	SA002	22	1	411	801
B	SA003	1	16	1830	801
B	SA003	2	14	1156	801
B	SA003	3	13	1012	801
B	SA003	4	7	689	801
B	SA003	5	10	819	801
B	SA003	6	11	931	801
B	SA003	7	8	822	801
B	SA003	8	12	599	801
B	SA003	9	8	688	801
B	SA003	10	9	688	801
B	SA003	11	11	1209	801
B	SA003	12	9	966	801
B	SA003	13	5	302	801
B	SA003	14	13	551	801
B	SA003	15	7	528	801
B	SA003	16	12	752	801
B	SA003	17	17	1072	801
B	SA003	18	2	260	801
B	SA003	19	9	1318	801
B	SA003	20	8	505	801
B	SA003	21	1	213	801
B	SA003	22	7	411	801
B	SA004	1	1	1830	801
B	SA004	2	1	1156	801
B	SA004	3	3	1012	801
B	SA004	4	2	689	801
B	SA004	5	1	819	801
B	SA004	6	2	931	801
B	SA004	7	1	822	801
B	SA004	8	1	599	801
B	SA004	9	1	688	801
B	SA004	10	1	688	801
B	SA004	11	1	1209	801
B	SA004	14	1	551	801
B	SA004	15	1	528	801
B	SA004	17	1	1072	801
B	SA005	3	1	1012	801
B	SA005	4	3	689	801
B	SA005	6	2	931	801
B	SA005	8	1	599	801
B	SA005	9	1	688	801
B	SA005	12	2	966	801
B	SA005	16	1	752	801
B	SA005	19	1	1318	801
B	SA005	20	1	505	801
B	SA006	1	1	1830	801
B	SA006	2	3	1156	801
B	SA006	4	2	689	801
B	SA006	7	2	822	801
B	SA006	9	1	688	801
B	SA006	11	2	1209	801
B	SA006	14	1	551	801
B	SA006	17	2	1072	801
B	SA006	19	1	1318	801
B	SA007	1	1	1830	801
B	SA007	2	1	1156	801
B	SA007	5	1	819	801
B	SA007	6	1	931	801
B	SA007	7	1	822	801
B	SA007	8	1	599	801
B	SA007	10	1	688	801
B	SA007	11	1	1209	801
B	SA007	14	1	551	801
B	SA007	17	1	1072	801
B	SA007	20	1	505	801
B	SA008	1	2	1830	801
B	SA008	2	4	1156	801
B	SA008	3	1	1012	801
B	SA008	4	2	689	801
B	SA008	5	1	819	801
B	SA008	6	2	931	801
B	SA008	7	1	822	801
B	SA008	9	1	688	801
B	SA008	10	2	688	801
B	SA008	11	1	1209	801
B	SA008	14	1	551	801
B	SA008	15	2	528	801
B	SA008	19	1	1318	801
B	SA008	20	2	505	801
B	SA008	22	1	411	801
B	SA009	1	1	1830	801
B	SA009	8	1	599	801
B	SA009	11	1	1209	801
B	SA009	12	2	966	801
B	SA009	15	2	528	801
B	SA009	17	1	1072	801
B	SA009	20	1	505	801
B	SA010	2	1	1156	801
