family	target_id	frozen_n	mapped_n	coverage	accepted_sets	unique_sets	attempts	acceptance_rate	exact_chromosome_composition	unique_control_genes	max_control_reuse_prop	reuse_entropy	effective_support_exp_entropy	effective_support_inverse_simpson	max_median_abs_SMD	max_p95_abs_SMD
A	D01	27		0.9259259259259259	10000	10000		0.4384426517011575	YES	11021	0.0992	8.639199598016635	5648.806698432907	3220.391207971433	0.11210774011753888	0.233158579095532
A	M01	17		0.9411764705882353	10000	10000		0.28404249275691645	YES	8867	0.0819	8.280848596781025	3947.5428331781063	1947.1003264739688	0.11351658757522295	0.23384879091368238
A	M02	34		0.9117647058823529	10000	10000		0.4788354721317755	YES	13237	0.0808	8.94962828166397	7705.02722882276	5025.505092023678	0.1093841223406792	0.2326752182250716
A	M03	23		0.9565217391304348	10000	10000		0.4137531548678059	YES	11998	0.1424	8.765724465574253	6410.70459810011	3464.5054261026517	0.11157357339719914	0.23318251660297531
A	M04	42		0.9285714285714286	10000	10000		0.7446016381236039	YES	10173	0.346	7.806623824793451	2456.8217566986245	895.3843624871542	0.09558431234544787	0.22394929124228063
A	M05	387		0.9664082687338501	10000	10000		1.0	YES	16937	0.887	8.684331063980249	5909.5860401567925	3105.612193010874	0.07272889968872776	0.14989550221934075
A	M06	28		0.9285714285714286	10000	10000		0.4251339171839129	YES	9900	0.1021	8.5336720608971	5083.076974740184	2905.3443120965308	0.10894616255203625	0.23057871730542118
B	SA001	10		1.0	10000	10000		0.18402311330303087	YES	5641	0.0674	7.881890352756424	2648.875138312851	1419.2159569830317	0.11684392093113333	0.23539816452606374
B	SA002	10		1.0	10000	10000		0.22440644495309905	YES	5413	0.0424	8.001737143581579	2986.14083945193	1789.4504025190276	0.11388653739876423	0.23484381770492524
B	SA003	215		0.9720930232558139	10000	10000		0.9977052778609199	YES	17313	0.2037	9.228274885832835	10180.963030062861	6913.27683000552	0.053497405214572136	0.1554576217207656
B	SA004	18		1.0	10000	10000		0.23616654464728526	YES	12183	0.0342	8.924030902376417	7510.301589768482	4838.867215211002	0.11569573261563214	0.235349355925451
B	SA005	13		1.0	10000	10000		0.25540174694794915	YES	4760	0.2753	7.098281905331527	1209.8865880716137	415.76393819082415	0.11258817756919585	0.23404257280378996
B	SA006	16		0.9375	10000	10000		0.23410979749502517	YES	8872	0.0362	8.548355205309026	5158.2631620328375	3420.1400342136544	0.11777031305821961	0.2347252241375404
B	SA007	11		1.0	10000	10000		0.28808481216870246	YES	7480	0.0561	8.062054437167046	3171.7997085196657	1552.3372425717857	0.11479035818950062	0.23306689746012943
B	SA008	25		0.96	10000	10000		0.4062893592816804	YES	12354	0.0432	8.798697063590447	6625.60563705721	4069.0828541566293	0.11171047425032032	0.23320552043734344
B	SA009	10		0.9	10000	10000		0.1805934300110162	YES	6416	0.021	8.289397952750768	3981.4364599606065	2743.7518672756146	0.11702159941973553	0.2342816735565768
B	SA010	14		0.9285714285714286	10000	10000		0.20887292171442895	YES	7880	0.0452	8.375243563561215	4338.324807651902	2648.760004162766	0.116169943578776	0.2351182494245709
B	SA011	11		1.0	10000	10000		0.18288556849978968	YES	4480	0.0694	7.694924252377217	2197.1673738189447	1232.3953344975514	0.11858889926609717	0.23571708357727028
B	SA012	12		1.0	10000	10000		0.22257339357653186	YES	8088	0.0686	8.238469345685049	3783.744268944075	1849.7965223825954	0.11552447670457622	0.23370324244026155
B	SA013	11		1.0	10000	10000		0.23026618771299623	YES	5660	0.0358	8.06482680856561	3180.605315880513	2085.9630546636195	0.11503364514019837	0.23536061161593486
