analysis	anchor_gene	candidate_gene	rank	distance	anchor_length_quintile	candidate_length_quintile	expansion_rule	selected_count	selected_prop
PRIMARY_K50	ACTB	PRKCD	1	0.11719941890658787	3	3	PRIMARY_K50_50	232	0.0232
PRIMARY_K50	ACTB	TBX1	2	0.2554741916081951	3	3	PRIMARY_K50_50	172	0.0172
PRIMARY_K50	ACTB	EPHA2	3	0.2604611350267537	3	3	PRIMARY_K50_50	204	0.0204
PRIMARY_K50	ACTB	WNT4	4	0.2628142551669508	3	3	PRIMARY_K50_50	164	0.0164
PRIMARY_K50	ACTB	DLG4	5	0.30639424202090865	3	3	PRIMARY_K50_50	197	0.0197
PRIMARY_K50	ACTB	NOS3	6	0.3273238315200871	3	3	PRIMARY_K50_50	172	0.0172
PRIMARY_K50	ACTB	JAK3	7	0.412177875813807	3	3	PRIMARY_K50_50	194	0.0194
PRIMARY_K50	ACTB	PDGFB	8	0.4143103427315722	3	3	PRIMARY_K50_50	202	0.0202
PRIMARY_K50	ACTB	STAT5A	9	0.44809925786432975	3	3	PRIMARY_K50_50	169	0.0169
PRIMARY_K50	ACTB	ADORA2A	10	0.45295563170020925	3	3	PRIMARY_K50_50	191	0.0191
PRIMARY_K50	ACTB	STRA6	11	0.4799256258124289	3	3	PRIMARY_K50_50	192	0.0192
PRIMARY_K50	ACTB	CSK	12	0.4901007085147748	3	3	PRIMARY_K50_50	198	0.0198
PRIMARY_K50	ACTB	NUP62	13	0.49577400875774746	3	3	PRIMARY_K50_50	203	0.0203
PRIMARY_K50	ACTB	MLXIPL	14	0.4973441355916285	3	3	PRIMARY_K50_50	206	0.0206
PRIMARY_K50	ACTB	RAPGEF3	15	0.5056937397003352	3	3	PRIMARY_K50_50	202	0.0202
PRIMARY_K50	ACTB	SREBF1	16	0.5056964697505943	3	3	PRIMARY_K50_50	222	0.0222
PRIMARY_K50	ACTB	DMTN	17	0.5099333764575158	3	3	PRIMARY_K50_50	195	0.0195
PRIMARY_K50	ACTB	SQSTM1	18	0.511968688071813	3	3	PRIMARY_K50_50	231	0.0231
PRIMARY_K50	ACTB	NHERF1	19	0.5150539329531908	3	3	PRIMARY_K50_50	200	0.02
PRIMARY_K50	ACTB	MAVS	20	0.5304212524531561	3	3	PRIMARY_K50_50	192	0.0192
PRIMARY_K50	ACTB	WFS1	21	0.5389387316823447	3	3	PRIMARY_K50_50	196	0.0196
PRIMARY_K50	ACTB	SIRT2	22	0.539231091232808	3	3	PRIMARY_K50_50	213	0.0213
PRIMARY_K50	ACTB	ADCY6	23	0.5506635133589936	3	3	PRIMARY_K50_50	209	0.0209
PRIMARY_K50	ACTB	GNAI2	24	0.5549663455013076	3	3	PRIMARY_K50_50	202	0.0202
PRIMARY_K50	ACTB	INPP5K	25	0.5563849227219987	3	3	PRIMARY_K50_50	179	0.0179
PRIMARY_K50	ACTB	PCSK9	26	0.562651467113624	3	3	PRIMARY_K50_50	190	0.019
PRIMARY_K50	ACTB	WNT11	27	0.5637011447666229	3	3	PRIMARY_K50_50	206	0.0206
PRIMARY_K50	ACTB	ABCD1	28	0.566051006139531	3	3	PRIMARY_K50_50	204	0.0204
PRIMARY_K50	ACTB	STX1A	29	0.5693264307042162	3	3	PRIMARY_K50_50	227	0.0227
PRIMARY_K50	ACTB	COL1A1	30	0.5697662627802944	3	3	PRIMARY_K50_50	209	0.0209
PRIMARY_K50	ACTB	BRSK1	31	0.571398777658031	3	3	PRIMARY_K50_50	186	0.0186
PRIMARY_K50	ACTB	ATP13A2	32	0.5753464230445934	3	3	PRIMARY_K50_50	199	0.0199
PRIMARY_K50	ACTB	IKBKG	33	0.585398331277914	3	3	PRIMARY_K50_50	213	0.0213
PRIMARY_K50	ACTB	SPI1	34	0.5931411353556776	3	3	PRIMARY_K50_50	192	0.0192
PRIMARY_K50	ACTB	FGF18	35	0.6022819453269845	3	3	PRIMARY_K50_50	213	0.0213
PRIMARY_K50	ACTB	CSNK1D	36	0.6043780468636722	3	3	PRIMARY_K50_50	207	0.0207
PRIMARY_K50	ACTB	SMAD7	37	0.6072174145132191	3	3	PRIMARY_K50_50	209	0.0209
PRIMARY_K50	ACTB	PRKACA	38	0.6199325142217501	3	3	PRIMARY_K50_50	190	0.019
PRIMARY_K50	ACTB	LRRC8A	39	0.6279283275697419	3	3	PRIMARY_K50_50	206	0.0206
PRIMARY_K50	ACTB	INCENP	40	0.6342523933556713	3	3	PRIMARY_K50_50	193	0.0193
PRIMARY_K50	ACTB	KCNH2	41	0.6393929335940327	3	3	PRIMARY_K50_50	209	0.0209
PRIMARY_K50	ACTB	ABCA7	42	0.647679021650724	3	3	PRIMARY_K50_50	212	0.0212
PRIMARY_K50	ACTB	VSIR	43	0.6521448708491321	3	3	PRIMARY_K50_50	221	0.0221
PRIMARY_K50	ACTB	TYK2	44	0.6526068311995714	3	3	PRIMARY_K50_50	178	0.0178
PRIMARY_K50	ACTB	UPF1	45	0.6530325553819878	3	3	PRIMARY_K50_50	190	0.019
PRIMARY_K50	ACTB	HNF1A	46	0.6562870746077497	3	3	PRIMARY_K50_50	228	0.0228
PRIMARY_K50	ACTB	LAPTM5	47	0.6565575159787276	3	3	PRIMARY_K50_50	189	0.0189
PRIMARY_K50	ACTB	FLCN	48	0.6569571438072962	3	3	PRIMARY_K50_50	211	0.0211
