analysis	anchor_gene	n_candidates	selected_unique_candidates	max_reuse_prop	reuse_entropy	effective_support_exp_entropy	effective_support_inverse_simpson	accepted_sets	unique_set_hashes	within_set_duplicate_sets	assignment_set_membership_mismatch
PRIMARY_K50	ACTB	50	50	0.0232	3.909082815439679	49.853206406852195	49.709151753092655	10000	10000	0	0
PRIMARY_K50	ADA	50	50	0.0229	3.9099434477876205	49.896130157069074	49.792712936047224	10000	10000	0	0
PRIMARY_K50	BRCA2	50	50	0.0223	3.9096554598385147	49.88176274179735	49.766446068600054	10000	10000	0	0
PRIMARY_K50	C4B	50	50	0.0235	3.909335828256914	49.86582150287659	49.73105445749388	10000	10000	0	0
PRIMARY_K50	CARD11	50	50	0.0231	3.9096663259097286	49.8823047635284	49.76471243958565	10000	10000	0	0
PRIMARY_K50	CHD7	50	50	0.0232	3.908686955038101	49.83347540216341	49.6692524479491	10000	10000	0	0
PRIMARY_K50	CORO1A	50	50	0.023	3.9095238544468573	49.875198464831755	49.75411516286512	10000	10000	0	0
PRIMARY_K50	DOCK8	50	50	0.0222	3.9102150601963364	49.90968440583439	49.82079460181728	10000	10000	0	0
PRIMARY_K50	ERBIN	50	50	0.0233	3.9090583410513666	49.851986295050786	49.703518512075455	10000	10000	0	0
PRIMARY_K50	KDM6A	50	50	0.023	3.909664887050529	49.88223298996692	49.76421713919451	10000	10000	0	0
PRIMARY_K50	KMT2A	50	50	0.0256	3.9088591855756754	49.84205898757767	49.68119576676467	10000	10000	0	0
PRIMARY_K50	LRBA	50	50	0.0231	3.909711511731686	49.88455878739485	49.77080544094446	10000	10000	0	0
PRIMARY_K50	MCM4	50	50	0.0224	3.9102492101710724	49.91138884939912	49.823475426563675	10000	10000	0	0
PRIMARY_K50	NSMCE3	50	50	0.0228	3.9102647553689187	49.91216473784422	49.82541175720276	10000	10000	0	0
PRIMARY_K50	PAX5	50	50	0.0239	3.909824548663746	49.89019790358553	49.77962559747993	10000	10000	0	0
PRIMARY_K50	PDCD1	50	50	0.0235	3.909176281337554	49.85786619931341	49.71572548169565	10000	10000	0	0
PRIMARY_K50	PIK3CG	50	50	0.0237	3.908807965127409	49.83950612035387	49.678925107033244	10000	10000	0	0
PRIMARY_K50	PRKDC	50	50	0.0224	3.910071960665082	49.90254286437867	49.80536065057755	10000	10000	0	0
PRIMARY_K50	PSMD12	50	50	0.0233	3.9094046875637574	49.86925534700516	49.74065223922469	10000	10000	0	0
PRIMARY_K50	PTEN	50	50	0.0231	3.909459290353304	49.87197842180279	49.74550201170809	10000	10000	0	0
PRIMARY_K50	PTPRC	50	50	0.0247	3.9096094889249025	49.879469684298904	49.75743251648215	10000	10000	0	0
PRIMARY_K50	SLC7A7	50	50	0.0231	3.9100147818935183	49.899689579854204	49.79975518440351	10000	10000	0	0
PRIMARY_K50	SRPRA	50	50	0.0234	3.909012813371606	49.84971670144838	49.70070237032591	10000	10000	0	0
PRIMARY_K50	TET2	50	50	0.0227	3.909521465091912	49.87507929542202	49.752827950740716	10000	10000	0	0
PRIMARY_K50	TOP2B	50	50	0.023	3.909719177514096	49.88494119303384	49.771201785392556	10000	10000	0	0
PRIMARY_K50	VPS13B	50	50	0.023	3.9091370255176137	49.85590902631075	49.715923214750916	10000	10000	0	0
SENSITIVITY_K20	ACTB	20	20	0.0542	2.9945184278349166	19.975737813872932	19.951780536798665	10000	10000	0	0
SENSITIVITY_K20	ADA	20	20	0.0548	2.9948328632369097	19.982019880622875	19.96382554810683	10000	10000	0	0
