stage	stage_scope	database	family_n	pathway_id	pathway_name	P	q_BH	q_BY	BH_class	BY_class	classification_changed
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:0000727	double-strand break repair via break-induced replication	0.014705634443011	0.0448493048205988	0.4117470392168929	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:0009123	nucleoside monophosphate metabolic process	0.0129524342189905	0.0395910075678622	0.3634723037712229	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:0009126	purine nucleoside monophosphate metabolic process	0.010832757052413	0.0331304859347086	0.3041603330530966	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:0009167	purine ribonucleoside monophosphate metabolic process	0.010832757052413	0.0331304859347086	0.3041603330530966	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:0045815	transcription initiation-coupled chromatin remodeling	0.0160157349588806	0.0487629919139101	0.4476773413595512	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:0050856	regulation of T cell receptor signaling pathway	0.0161794072575252	0.0492338188461823	0.45199985195636233	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:0141137	positive regulation of gene expression, epigenetic	0.0160157349588806	0.0487629919139101	0.4476773413595512	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:1902969	mitotic DNA replication	0.0155009879110586	0.0472485369772201	0.43377361779674767	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:2000779	regulation of double-strand break repair	0.0141432623756645	0.0432067152171366	0.39666695250028944	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:2000781	positive regulation of double-strand break repair	0.0102169561128783	0.031317441403367	0.28751535448019755	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:2001032	regulation of double-strand break repair via nonhomologous end joining	0.0103340140282068	0.0316406609290603	0.2904827289635626	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	GO_BP	5450	GO:2001034	positive regulation of double-strand break repair via nonhomologous end joining	0.0103340140282068	0.0316406609290603	0.2904827289635626	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	Reactome	1221	R-HSA-176187	Activation of ATR in response to replication stress	0.014705634443011	0.0490589608057826	0.37702059536760374	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	Reactome	1221	R-HSA-176974	Unwinding of DNA	0.014705634443011	0.0490589608057826	0.37702059536760374	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	Reactome	1221	R-HSA-68867	Assembly of the pre-replicative complex	0.0044748972109577	0.0150935068911035	0.11599436394091174	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	Reactome	1221	R-HSA-68949	Orc1 removal from chromatin	0.0044748972109577	0.0150935068911035	0.11599436394091174	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	Reactome	1221	R-HSA-8948751	Regulation of PTEN stability and activity	0.0140216359547535	0.0470341140130606	0.3614595453416471	PRIMARY_PASS	LOST_UNDER_BY	YES
MDV2	FROZEN_PRIMARY_PASS_SUBSET	Reactome	1221	R-HSA-9772755	Formation of WDR5-containing histone-modifying complexes	0.0092981406149415	0.0312755638866217	0.24035429049695173	PRIMARY_PASS	LOST_UNDER_BY	YES
