replicate_id	seed	n_MDV2	n_MDV3	n_Tier1	reference_B_MDV4	runtime_sec
1	20260910	33	169	4	8861	12529.556905508041
2	20260911	56	98	11	8688	35282.663078308105
3	20260912	34	49	10	8450	8424.539284467697
4	20260913	41	114	3	8133	5434.317036390305
5	20260914	29	105	15	8792	2132.130649328232
6	20260915	19	60	17	8003	3399.0693900585175
7	20260916	23	52	10	8489	9590.575445890427
8	20260917	40	85	13	7963	1182.3940827846527
9	20260918	27	88	14	8850	1740.8666760921478
10	20260919	42	156	13	8849	2890.0623683929443
11	20260920	29	42	0	7792	1346.9469094276428
12	20260921	27	92	20	8344	1135.5522892475128
13	20260922	46	91	15	8200	1663.5977561473846
14	20260923	61	123	15	8145	3441.4607117176056
15	20260924	48	136	20	9269	1332.6385927200317
16	20260925	88	130	0	7719	986.3023672103882
17	20260926	23	84	5	8546	1838.6079099178314
18	20260927	30	118	18	8154	2950.427098751068
19	20260928	53	92	0	8308	1721.8301434516907
20	20260929	34	77	12	8341	1215.1027789115906
21	20260930	29	139	2	8366	1831.3719110488892
22	20260931	38	118	18	7829	1226.4340374469757
23	20260932	33	117	17	9056	1679.2694113254547
24	20260933	50	175	24	8714	1880.1469881534576
25	20260934	32	125	21	8681	2497.368493080139
26	20260935	59	162	24	8490	1236.8200368881226
27	20260936	36	96	13	8491	1366.683125257492
28	20260937	29	153	16	8354	1316.4585638046265
29	20260938	32	158	21	8119	2406.958716392517
30	20260939	52	101	20	8123	1091.6613199710846
31	20260940	57	148	36	8467	1430.6173145771027
32	20260941	19	64	11	8197	1211.6686124801636
33	20260942	21	71	13	7356	1390.085283279419
34	20260943	29	97	10	8032	1559.8013215065002
35	20260944	33	116	0	7305	1046.7014515399933
36	20260945	64	162	17	7915	1407.6701469421387
37	20260946	63	211	21	8617	1496.9856686592102
38	20260947	46	104	6	8359	1261.486176252365
39	20260948	43	111	11	7838	1095.3203766345978
40	20260949	40	121	11	9036	951.6943602561951
41	20260950	37	174	29	8486	1311.1972966194153
42	20260951	53	200	22	8472	1293.0216765403748
43	20260952	38	105	10	8495	831.3483848571777
44	20260953	42	105	3	8209	1389.1531257629395
45	20260954	22	72	10	8212	1596.2250456809998
46	20260955	33	135	30	8358	1364.9996483325958
47	20260956	25	83	21	8181	1277.640320301056
48	20260957	75	165	16	8532	875.5485138893127
49	20260958	43	65	3	7333	1902.5945591926575
50	20260959	46	193	8	9022	976.9396727085114
51	20260960	67	134	14	8071	2124.487800359726
52	20260961	24	134	18	8703	1867.238534450531
53	20260962	42	168	0	7691	2098.4624688625336
54	20260963	27	73	13	7728	1503.612312555313
55	20260964	51	130	20	8469	1582.8763065338135
56	20260965	58	88	16	8255	1849.2429933547974
57	20260966	32	246	33	7879	1673.519568681717
58	20260967	15	83	16	8015	1432.9606351852417
59	20260968	28	102	16	8643	2169.4075179100037
60	20260969	37	241	7	8338	1511.834758758545
61	20260970	21	58	8	7977	2004.5033490657806
62	20260971	55	149	12	8533	1659.0671722888947
63	20260972	50	145	15	7810	1477.8524844646454
64	20260973	38	92	14	8361	1470.5700645446777
65	20260974	22	153	20	8497	1393.6415824890137
66	20260975	28	229	31	8309	1395.373824596405
67	20260976	20	75	14	8332	1950.8833286762238
68	20260977	25	76	15	8861	2268.878425359726
69	20260978	36	109	18	8538	1751.4955518245697
70	20260979	25	75	20	7755	1963.0579278469086
71	20260980	38	110	13	8071	1982.3180844783783
72	20260981	19	81	12	8359	2227.569237947464
73	20260982	46	148	19	8080	1281.9998598098755
74	20260983	33	116	11	8664	1327.4760258197784
75	20260984	33	52	8	7494	2352.850573539734
