database	pathway_id	pathway_name	frozen_tier_class	Tier1_BH	Tier1_BY	retained_under_BY	lost_under_BY
GO_BP	GO:0000012	single strand break repair	Neither	NO	NO	NA	NO
GO_BP	GO:0000018	regulation of DNA recombination	Neither	NO	NO	NA	NO
GO_BP	GO:0000022	mitotic spindle elongation	Neither	NO	NO	NA	NO
GO_BP	GO:0000027	ribosomal large subunit assembly	Neither	NO	NO	NA	NO
GO_BP	GO:0000028	ribosomal small subunit assembly	Firth_only	NO	NO	NA	NO
GO_BP	GO:0000038	very long-chain fatty acid metabolic process	Neither	NO	NO	NA	NO
GO_BP	GO:0000041	transition metal ion transport	Neither	NO	NO	NA	NO
GO_BP	GO:0000045	autophagosome assembly	Neither	NO	NO	NA	NO
GO_BP	GO:0000050	urea cycle	Neither	NO	NO	NA	NO
GO_BP	GO:0000054	ribosomal subunit export from nucleus	Neither	NO	NO	NA	NO
GO_BP	GO:0000070	mitotic sister chromatid segregation	Neither	NO	NO	NA	NO
GO_BP	GO:0000075	cell cycle checkpoint signaling	Neither	NO	NO	NA	NO
GO_BP	GO:0000076	DNA replication checkpoint signaling	Neither	NO	NO	NA	NO
GO_BP	GO:0000077	DNA damage checkpoint signaling	Neither	NO	NO	NA	NO
GO_BP	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	Neither	NO	NO	NA	NO
GO_BP	GO:0000082	G1/S transition of mitotic cell cycle	Neither	NO	NO	NA	NO
GO_BP	GO:0000086	G2/M transition of mitotic cell cycle	Neither	NO	NO	NA	NO
GO_BP	GO:0000096	sulfur amino acid metabolic process	Neither	NO	NO	NA	NO
GO_BP	GO:0000097	sulfur amino acid biosynthetic process	Neither	NO	NO	NA	NO
GO_BP	GO:0000098	sulfur amino acid catabolic process	Neither	NO	NO	NA	NO
GO_BP	GO:0000101	sulfur amino acid transport	Neither	NO	NO	NA	NO
GO_BP	GO:0000132	establishment of mitotic spindle orientation	Neither	NO	NO	NA	NO
GO_BP	GO:0000154	rRNA modification	Neither	NO	NO	NA	NO
GO_BP	GO:0000165	MAPK cascade	Neither	NO	NO	NA	NO
GO_BP	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	Neither	NO	NO	NA	NO
GO_BP	GO:0000209	protein polyubiquitination	Neither	NO	NO	NA	NO
GO_BP	GO:0000212	meiotic spindle organization	Firth_only	NO	NO	NA	NO
GO_BP	GO:0000244	spliceosomal tri-snRNP complex assembly	Neither	NO	NO	NA	NO
GO_BP	GO:0000245	spliceosomal complex assembly	Neither	NO	NO	NA	NO
GO_BP	GO:0000266	mitochondrial fission	Neither	NO	NO	NA	NO
GO_BP	GO:0000271	polysaccharide biosynthetic process	Neither	NO	NO	NA	NO
GO_BP	GO:0000272	polysaccharide catabolic process	Neither	NO	NO	NA	NO
GO_BP	GO:0000280	nuclear division	Neither	NO	NO	NA	NO
GO_BP	GO:0000281	mitotic cytokinesis	Neither	NO	NO	NA	NO
