analysis	variable_x	variable_y	stratum	n	metric	value
COUNT_SUMMARY	n_MDV2		ALL	1000	P_gt0	1.0
COUNT_SUMMARY	n_MDV2		ALL	1000	mean	37.884
COUNT_SUMMARY	n_MDV2		ALL	1000	SD	13.288684401893708
COUNT_SUMMARY	n_MDV2		ALL	1000	median	36.0
COUNT_SUMMARY	n_MDV2		ALL	1000	Q1	28.0
COUNT_SUMMARY	n_MDV2		ALL	1000	Q3	45.0
COUNT_SUMMARY	n_MDV2		ALL	1000	P05	20.0
COUNT_SUMMARY	n_MDV2		ALL	1000	P95	62.0
COUNT_SUMMARY	n_MDV2		ALL	1000	min	9
COUNT_SUMMARY	n_MDV2		ALL	1000	max	113
COUNT_SUMMARY	n_MDV3		ALL	1000	P_gt0	1.0
COUNT_SUMMARY	n_MDV3		ALL	1000	mean	117.16
COUNT_SUMMARY	n_MDV3		ALL	1000	SD	38.07592646510622
COUNT_SUMMARY	n_MDV3		ALL	1000	median	114.0
COUNT_SUMMARY	n_MDV3		ALL	1000	Q1	90.0
COUNT_SUMMARY	n_MDV3		ALL	1000	Q3	140.0
COUNT_SUMMARY	n_MDV3		ALL	1000	P05	64.0
COUNT_SUMMARY	n_MDV3		ALL	1000	P95	185.04999999999995
COUNT_SUMMARY	n_MDV3		ALL	1000	min	17
COUNT_SUMMARY	n_MDV3		ALL	1000	max	246
COUNT_SUMMARY	n_Tier1		ALL	1000	P_gt0	0.906
COUNT_SUMMARY	n_Tier1		ALL	1000	mean	14.408
COUNT_SUMMARY	n_Tier1		ALL	1000	SD	9.448005122818298
COUNT_SUMMARY	n_Tier1		ALL	1000	median	15.0
COUNT_SUMMARY	n_Tier1		ALL	1000	Q1	7.0
COUNT_SUMMARY	n_Tier1		ALL	1000	Q3	20.0
COUNT_SUMMARY	n_Tier1		ALL	1000	P05	0.0
COUNT_SUMMARY	n_Tier1		ALL	1000	P95	30.0
COUNT_SUMMARY	n_Tier1		ALL	1000	min	0
COUNT_SUMMARY	n_Tier1		ALL	1000	max	68
CORRELATION	n_MDV2	n_MDV3	ALL	1000	Pearson_r	0.4715851572307195
CORRELATION	n_MDV2	n_Tier1	ALL	1000	Pearson_r	0.22820887583462693
CORRELATION	n_MDV3	n_Tier1	ALL	1000	Pearson_r	0.46341444355812156
CORRELATION	reference_B_MDV4	n_Tier1	ALL	1000	Pearson_r	0.04225642380123645
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_LT_8000	275	P_gt0	0.8581818181818182
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_LT_8000	275	mean	13.865454545454545
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_LT_8000	275	median	14
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_LT_8000	275	P05	0.0
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_LT_8000	275	P95	29.0
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_LT_8000	275	min	0
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_LT_8000	275	max	47
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_GE_8000	725	P_gt0	0.9241379310344827
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_GE_8000	725	mean	14.613793103448275
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_GE_8000	725	median	15
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_GE_8000	725	P05	0.0
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_GE_8000	725	P95	30.0
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_GE_8000	725	min	0
B_STRATIFIED_TIER1	n_Tier1	reference_B_MDV4	B_GE_8000	725	max	68
