target_id	target_family	biological_label	representative_n	raw26_driver_n	driver_genes	dominant_driver_gene	dominant_tie_n	locus_dominated_flag	representative_pathway_driver_incidence	driver_weights	N_eff	C_max	interpretation
D01	A_HIGHER_ORDER	Purine nucleotide metabolism and biosynthesis	5	1	ADA	ADA	1	1	ADA:5	ADA:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
M01	A_HIGHER_ORDER	Purine nucleotide catabolism	2	1	ADA	ADA	1	1	ADA:2	ADA:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
M02	A_HIGHER_ORDER	Amino-acid transport	2	1	SLC7A7	SLC7A7	1	1	SLC7A7:2	SLC7A7:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
M03	A_HIGHER_ORDER	Purine salvage	2	1	ADA	ADA	1	1	ADA:2	ADA:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
M04	A_HIGHER_ORDER	Lymphocyte and T-cell proliferation	2	3	DOCK8;PIK3CG;PTPRC	DOCK8;PIK3CG	2	1	DOCK8:2;PIK3CG:2;PTPRC:1	DOCK8:0.400000;PIK3CG:0.400000;PTPRC:0.200000	2.7777777777777772	0.4	DESCRIPTIVE_ONLY
M05	A_HIGHER_ORDER	Lymphocyte and T-cell activation	2	9	ADA;CHD7;CORO1A;DOCK8;KMT2A;PAX5;PIK3CG;PTPRC;TOP2B	ADA;CHD7;DOCK8;KMT2A;PIK3CG;PTPRC	6	1	ADA:2;CHD7:2;CORO1A:1;DOCK8:2;KMT2A:2;PAX5:1;PIK3CG:2;PTPRC:2;TOP2B:1	ADA:0.133333;CHD7:0.133333;CORO1A:0.066667;DOCK8:0.133333;KMT2A:0.133333;PAX5:0.066667;PIK3CG:0.133333;PTPRC:0.133333;TOP2B:0.066667	8.333333333333332	0.13333333333333333	DESCRIPTIVE_ONLY
M06	A_HIGHER_ORDER	CCT/TriC-mediated actin folding	2	1	ACTB	ACTB	1	1	ACTB:2	ACTB:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA001	B_STANDALONE	DNA recombinase assembly	1	1	BRCA2	BRCA2	1	NOT_FROZEN_FOR_STANDALONE	BRCA2:1	BRCA2:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA002	B_STANDALONE	DNA topological change	1	1	TOP2B	TOP2B	1	NOT_FROZEN_FOR_STANDALONE	TOP2B:1	TOP2B:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA003	B_STANDALONE	DNA recombination	1	5	BRCA2;MCM4;NSMCE3;PRKDC;TOP2B	BRCA2;MCM4;NSMCE3;PRKDC;TOP2B	5	NOT_FROZEN_FOR_STANDALONE	BRCA2:1;MCM4:1;NSMCE3:1;PRKDC:1;TOP2B:1	BRCA2:0.200000;MCM4:0.200000;NSMCE3:0.200000;PRKDC:0.200000;TOP2B:0.200000	4.999999999999999	0.2	DESCRIPTIVE_ONLY
SA004	B_STANDALONE	SRP-dependent cotranslational protein targeting to membrane	1	1	SRPRA	SRPRA	1	NOT_FROZEN_FOR_STANDALONE	SRPRA:1	SRPRA:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA005	B_STANDALONE	detection of molecule of bacterial origin	1	1	C4B	C4B	1	NOT_FROZEN_FOR_STANDALONE	C4B:1	C4B:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA006	B_STANDALONE	protein localization to phagophore assembly site	1	1	LRBA	LRBA	1	NOT_FROZEN_FOR_STANDALONE	LRBA:1	LRBA:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA007	B_STANDALONE	locomotor rhythm	1	1	PTEN	PTEN	1	NOT_FROZEN_FOR_STANDALONE	PTEN:1	PTEN:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA008	B_STANDALONE	purine ribonucleoside metabolic process	1	1	ADA	ADA	1	NOT_FROZEN_FOR_STANDALONE	ADA:1	ADA:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA009	B_STANDALONE	response to hydroxyurea	1	1	NSMCE3	NSMCE3	1	NOT_FROZEN_FOR_STANDALONE	NSMCE3:1	NSMCE3:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA010	B_STANDALONE	mitotic DNA replication	1	2	BRCA2;MCM4	BRCA2;MCM4	2	NOT_FROZEN_FOR_STANDALONE	BRCA2:1;MCM4:1	BRCA2:0.500000;MCM4:0.500000	2.0	0.5	DESCRIPTIVE_ONLY
SA011	B_STANDALONE	Ribavirin ADME	1	1	ADA	ADA	1	NOT_FROZEN_FOR_STANDALONE	ADA:1	ADA:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA012	B_STANDALONE	Specification of primordial germ cells	1	1	TET2	TET2	1	NOT_FROZEN_FOR_STANDALONE	TET2:1	TET2:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
SA013	B_STANDALONE	GBP-mediated host defense	1	1	ACTB	ACTB	1	NOT_FROZEN_FOR_STANDALONE	ACTB:1	ACTB:1.000000	1.0	1.0	DESCRIPTIVE_ONLY
