dataset	target_id	baseline_beta	baseline_q_BH	leave1_affected_n	leave1_max_abs_delta_beta	leave1_sign_flip_n	leave1_q_lt_005_n	leave1_classification_switch_n	leave2_affected_n	leave2_max_abs_delta_beta	leave2_sign_flip_n	leave2_q_lt_005_n	leave2_classification_switch_n	revised_label
PGC	D01	0.26781	0.380436	1	0.0035199999999999676	0	0	0	8	0.0035199999999999676	0	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
PGC	M01	0.00015146	0.726348	1	0.02393346	1	0	0	8	0.02393346	8	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
PGC	M02	0.099343	0.62545	1	0.036820000000000006	0	0	0	0	0	0	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
PGC	M03	-0.0088966	0.726348	1	0.016747400000000003	0	0	0	8	0.016747400000000003	0	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
PGC	M04	-0.19325	0.98942	3	0.018559999999999993	0	0	0	21	0.022169999999999995	0	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
PGC	M05	-0.11016	0.98942	9	0.004379999999999995	0	0	0	36	0.006540000000000004	0	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
PGC	M06	0.18612	0.493885	1	0.0029799999999999827	0	0	0	0	0	0	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
SPARK	D01	0.00050345	0.7205333333333334	1	0.03156245	1	0	0	8	0.03156245	8	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
SPARK	M01	-0.12875	0.73181	1	0.06664	0	0	0	8	0.06664	0	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
SPARK	M02	-0.033843	0.7205333333333334	1	0.026702299999999998	0	0	0	0	0	0	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
SPARK	M03	-0.053418	0.7205333333333334	1	0.044781999999999995	0	0	0	8	0.044781999999999995	0	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
SPARK	M04	-0.019017	0.7205333333333334	3	0.0175227	0	0	0	21	0.0228294	1	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
SPARK	M05	0.0038955	0.7205333333333334	9	0.0030668	0	0	0	36	0.0050887	2	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
SPARK	M06	0.010618	0.7205333333333334	1	0.014781999999999998	0	0	0	0	0	0	0	0	COMMON_SIDE_NULL_ROBUST_TO_DRIVER_OMISSION
