dataset	scenario_type	scenario_id	omitted_genes	origin_units	target_id	affected_by_omission	NGENES	beta	BETA_STD	SE	P_one	q_BH	baseline_beta	baseline_SE	baseline_P_one	baseline_q_BH	delta_beta_vs_frozen	sign_flip	classification_switch	scenario_primary_positive	interpretation
PGC	LEAVE_ONE	L1_ACTB	ACTB	M06	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ACTB	ACTB	M06	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ACTB	ACTB	M06	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ACTB	ACTB	M06	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ACTB	ACTB	M06	M04	NO	39	-0.19325	-0.0089456	0.14588	0.90736	0.98942	-0.19325	0.14588	0.90736	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ACTB	ACTB	M06	M05	NO	375	-0.11016	-0.015665	0.047785	0.98942	0.98942	-0.11016	0.047785	0.98942	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ACTB	ACTB	M06	M06	YES	25	0.1891	0.0070114	0.17571	0.14092	0.49322	0.18612	0.17307	0.14111	0.493885	0.0029799999999999827	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ACTB	ACTB	M06	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ACTB	ACTB	M06	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ACTB	ACTB	M06	M02	NO	31	-0.033843	-0.0013967	0.14289	0.59361	0.7205333333333334	-0.033843	0.14289	0.59361	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ACTB	ACTB	M06	M03	NO	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	-0.053418	0.17854	0.6176	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ACTB	ACTB	M06	M04	NO	39	-0.019017	-0.00088011	0.14331	0.55278	0.7205333333333334	-0.019017	0.14331	0.55278	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ACTB	ACTB	M06	M05	NO	374	0.0038955	0.00055311	0.045048	0.46555	0.7205333333333334	0.0038955	0.045048	0.46555	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ACTB	ACTB	M06	M06	YES	26	0.0254	0.00096016	0.16229	0.43782	0.7205333333333334	0.010618	0.16004	0.47355	0.7205333333333334	0.014781999999999998	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	D01	YES	24	0.26429	0.0096012	0.16979	0.059794	0.418558	0.26781	0.16695	0.054348	0.380436	-0.0035199999999999676	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M01	YES	15	-0.023782	-0.00068321	0.23307	0.54064	0.7741300000000001	0.00015146	0.22589	0.49973	0.726348	-0.02393346	YES	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M03	YES	21	-0.025644	-0.00087151	0.19263	0.55295	0.7741300000000001	-0.0088966	0.18851	0.51882	0.726348	-0.016747400000000003	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M04	NO	39	-0.19325	-0.0089456	0.14588	0.90736	0.99008	-0.19325	0.14588	0.90736	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M05	YES	374	-0.11146	-0.01583	0.047849	0.99008	0.99008	-0.11016	0.047785	0.98942	0.98942	-0.0013000000000000095	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	D01	YES	24	-0.031059	-0.0011281	0.15762	0.5781	0.81865	0.00050345	0.15502	0.4987	0.7205333333333334	-0.03156245	YES	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M01	YES	15	-0.19539	-0.0056119	0.21465	0.81865	0.81865	-0.12875	0.20822	0.73181	0.73181	-0.06664	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M02	NO	31	-0.033843	-0.0013967	0.14289	0.59361	0.81865	-0.033843	0.14289	0.59361	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M03	YES	21	-0.0982	-0.0033366	0.18255	0.70469	0.81865	-0.053418	0.17854	0.6176	0.7205333333333334	-0.044781999999999995	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M04	NO	39	-0.019017	-0.00088011	0.14331	0.55278	0.81865	-0.019017	0.14331	0.55278	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M05	YES	373	0.0013195	0.00018711	0.04511	0.48833	0.81865	0.0038955	0.045048	0.46555	0.7205333333333334	-0.002576	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.81865	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M04	NO	39	-0.19325	-0.0089456	0.14588	0.90736	0.99117	-0.19325	0.14588	0.90736	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M05	YES	374	-0.1135	-0.01612	0.047831	0.99117	0.99117	-0.11016	0.047785	0.98942	0.98942	-0.0033400000000000096	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CHD7	CHD7	M05	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CHD7	CHD7	M05	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
