stage	source	pathway_id	pathway_name	R	positive_n	positive_prop	interpretation
MDV3	GO_BP	GO:0000012	single strand break repair	1000	67	0.067	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000018	regulation of DNA recombination	1000	5	0.005	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000022	mitotic spindle elongation	1000	22	0.022	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000027	ribosomal large subunit assembly	1000	15	0.015	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000028	ribosomal small subunit assembly	1000	48	0.048	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000038	very long-chain fatty acid metabolic process	1000	86	0.086	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000041	transition metal ion transport	1000	17	0.017	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000045	autophagosome assembly	1000	13	0.013	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000050	urea cycle	1000	49	0.049	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000054	ribosomal subunit export from nucleus	1000	24	0.024	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000070	mitotic sister chromatid segregation	1000	13	0.013	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000075	cell cycle checkpoint signaling	1000	7	0.007	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000076	DNA replication checkpoint signaling	1000	38	0.038	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000077	DNA damage checkpoint signaling	1000	5	0.005	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1000	12	0.012	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000082	G1/S transition of mitotic cell cycle	1000	9	0.009	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000086	G2/M transition of mitotic cell cycle	1000	3	0.003	CONDITIONAL_SUPPORTIVE_MD3_ONLY
