analysis_id	source	pathway_id	pathway_name_x	global_pathway_size	C1_n_case	C1_n_control	C1_pathway_case	C1_pathway_control	beta_C1	SE_C1	OR_C1	CI95L_C1	CI95U_C1	P_C1	fit_status_C1	warning_C1	C2_n_case	C2_n_control	C2_pathway_case	C2_pathway_control	beta_C2	SE_C2	OR_C2	CI95L_C2	CI95U_C2	P_C2	fit_status_C2	warning_C2	P_conj	q_conj	direction_pass	conjunction_testable	primary_pass	pathway_name_y	pathway_size	raw26_n	raw26_pathway_n	nonraw26_pathway_n	beta_Firth	SE_Firth	logCI95L	logCI95U	OR_Firth	CI95L	CI95U	P_Firth	q_Firth	fit_status	converged	solver_attempt	solver_type	iterations	prob01_warning	warning	enriched_flag	depleted_flag	P_emp	q_emp	observed_driver_n	T_obs_logOR	P_emp_1k	q_emp_1k	P_emp_K20	q_emp_K20	tier_class
PRIMARY_RAW_OVERLAP	GO_BP	GO:0000727	double-strand break repair via break-induced replication	12	26	474	1	1	4.09266083800681	1.5047824223002	59.8990615471875	3.13723389252518	1143.65001053391	0.0065327502021347	PASS		26	909	1	1	3.56808445944287	1.46260042459237	35.4486247958494	2.01665521222249	623.113456529859	0.014705634443011	PASS		0.014705634443011	0.0448493048205988	True	True	True	double-strand break repair via break-induced replication	12	26	1	11	4.88645923045047	0.966868711500379	2.99143137813108	6.78148708276986	132.483648524735	19.9141668036521	881.378432724915	4.32874919107125e-07	0.0003280888231167	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	0.036996300369963	1.0	1	4.247455740916254	0.030969030969030968	1.0	9.999000099990002e-05	0.005676515681765157	Firth_only
PRIMARY_RAW_OVERLAP	GO_BP	GO:0009123	nucleoside monophosphate metabolic process	74	26	474	2	3	2.72236675101128	0.965066644896604	15.2162928379065	2.29531682555003	100.87303205885	0.0047887542738512	PASS		26	909	2	9	1.95705105973573	0.787522103202222	7.07842241216078	1.51215547587436	33.1342012407877	0.0129524342189905	PASS		0.0129524342189905	0.0395910075678622	True	True	True	nucleoside monophosphate metabolic process	74	26	2	72	2.4592316205642	0.680938907735713	1.12461588573016	3.79384735539824	11.6958212579099	3.07903392087647	44.4269983417518	0.0003043952992241	0.0170269912694331	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	0.007599240075992401	0.6002298320892548	2	3.099476901034105	0.005994005994005994	0.5444555444555444	9.999000099990002e-05	0.005676515681765157	Firth_only
PRIMARY_RAW_OVERLAP	GO_BP	GO:0009126	purine nucleoside monophosphate metabolic process	46	26	474	2	2	2.96491513248714	1.05752207798643	19.3930573310878	2.44051710902103	154.10286256822	0.0050528706690676	PASS		26	909	2	8	2.02481396061838	0.794652995256319	7.57470162074056	1.59571627347019	35.9563323362456	0.010832757052413	PASS		0.010832757052413	0.0331304859347086	True	True	True	purine nucleoside monophosphate metabolic process	46	26	2	44	2.86324344099391	0.700295756260564	1.49068898019696	4.23579790179085	17.5182543150842	4.44015364332086	69.1168051604716	4.33946495880386e-05	0.0060331309497279	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	0.0018998100189981002	0.2353173773531738	2	3.5934130121013084	0.001998001998001998	0.25926454497883067	9.999000099990002e-05	0.005676515681765157	Firth_only
PRIMARY_RAW_OVERLAP	GO_BP	GO:0009167	purine ribonucleoside monophosphate metabolic process	41	26	474	2	2	2.96491513248714	1.05752207798643	19.3930573310878	2.44051710902103	154.10286256822	0.0050528706690676	PASS		26	909	2	8	2.02481396061838	0.794652995256319	7.57470162074056	1.59571627347019	35.9563323362456	0.010832757052413	PASS		0.010832757052413	0.0331304859347086	True	True	True	purine ribonucleoside monophosphate metabolic process	41	26	2	39	2.92587591499428	0.705687957944889	1.54275293309868	4.30899889688987	18.6505551983318	4.67744926779472	74.366003625309	3.38137911992794e-05	0.0052652903438877	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	0.0018998100189981002	0.2353173773531738	2	3.7143014233399225	0.001998001998001998	0.25926454497883067	9.999000099990002e-05	0.005676515681765157	Firth_only
PRIMARY_RAW_OVERLAP	GO_BP	GO:0045815	transcription initiation-coupled chromatin remodeling	56	26	474	2	3	2.63785252395004	0.963467006315507	13.9831428775043	2.11592462367332	92.4079631878643	0.0061837517511412	PASS		26	909	2	8	1.97018994649287	0.81799605729896	7.17203866256308	1.44332161545531	35.6387225317574	0.0160157349588806	PASS		0.0160157349588806	0.0487629919139101	True	True	True	transcription initiation-coupled chromatin remodeling	56	26	2	54	2.78454609975658	0.700685376325778	1.41122799766416	4.157864201849	16.1924664440198	4.10098831731028	63.9348247918626	7.06660659208968e-05	0.0074063472936324	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	0.0051994800519948	0.47228610472286103	2	3.3880975490058245	0.004995004995004995	0.46935822797891763	0.0045995400459954	0.2198902916725871	Firth_only
PRIMARY_RAW_OVERLAP	GO_BP	GO:0050856	regulation of T cell receptor signaling pathway	55	26	474	3	10	1.74737205792018	0.726605408596461	5.73949976695772	1.38161295704926	23.8430433116828	0.0161794072575252	PASS		26	909	3	3	3.026831718499	0.881858489868798	20.6317617001248	3.66350682978662	116.191837664878	0.0005984129938186	PASS		0.0161794072575252	0.0492338188461823	True	True	True	regulation of T cell receptor signaling pathway	55	26	3	52	2.76742941391487	0.628748295862229	1.53510539868396	3.99975342914577	15.9176636487515	4.64181474533755	54.5846893802219	1.07509963138963e-05	0.0027085044040093	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	0.0023997600239976003	0.28431939414754176	3	3.873966831327275	0.003996003996003996	0.41881195727349574	0.0020997900209979003	0.10796090202300525	Firth_only
PRIMARY_RAW_OVERLAP	GO_BP	GO:0141137	positive regulation of gene expression, epigenetic	60	26	474	2	3	2.63785252395004	0.963467006315507	13.9831428775043	2.11592462367332	92.4079631878643	0.0061837517511412	PASS		26	909	2	8	1.97018994649287	0.81799605729896	7.17203866256308	1.44332161545531	35.6387225317574	0.0160157349588806	PASS		0.0160157349588806	0.0487629919139101	True	True	True	positive regulation of gene expression, epigenetic	60	26	2	58	2.57813141114924	0.716403218084981	1.17400690529408	3.9822559170044	13.1725011598115	3.23492875748333	53.637900495906	0.0003197927172098	0.0176047505938738	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	0.0051994800519948	0.47228610472286103	2	3.3164300888019183	0.004995004995004995	0.46935822797891763	0.0045995400459954	0.2198902916725871	Firth_only
PRIMARY_RAW_OVERLAP	GO_BP	GO:1902969	mitotic DNA replication	14	26	474	2	4	2.336436241353	0.965287003778188	10.3443061857258	1.5597233709188	68.6049029328909	0.0155009879110586	PASS		26	909	2	1	3.91700954166804	1.25455854750796	50.2499494851502	4.29787180905561	587.513433495121	0.0017949190123023	PASS		0.0155009879110586	0.0472485369772201	True	True	True	mitotic DNA replication	14	26	2	12	4.68347775651458	0.776777808337248	3.16102122818362	6.20593428484554	108.145523127755	23.5946791810903	495.681847708657	1.6460406643339502e-09	8.97092162062e-06	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	2	4.894361535574586	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
PRIMARY_RAW_OVERLAP	GO_BP	GO:2000779	regulation of double-strand break repair	145	26	474	3	10	1.81156091186291	0.738326514717991	6.11999274987698	1.43974718785428	26.0145055843912	0.0141432623756645	PASS		26	909	3	14	1.72629139666841	0.671672944115814	5.61977370268321	1.50657161652898	20.9627316238253	0.0101658342499362	PASS		0.0141432623756645	0.0432067152171366	True	True	True	regulation of double-strand break repair	145	26	3	142	1.99184394302704	0.591346221842929	0.832826645821062	3.15086124023301	7.3290356342953	2.29981031046033	23.3561711957099	0.0007562746654613	0.0312249767179126	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	0.021497850214978503	0.9068558792975664	3	2.864682271780854	0.01998001998001998	1.0	0.0287971202879712	0.9996452584040959	Firth_only
PRIMARY_RAW_OVERLAP	GO_BP	GO:2000781	positive regulation of double-strand break repair	100	26	474	3	8	1.969696863025	0.766896838315177	7.1685031205979	1.59457410228516	32.2264339527271	0.0102169561128783	PASS		26	909	3	11	2.00258026181625	0.691080457727679	7.40814641665828	1.91188077067363	28.7050501121523	0.0037584682094035	PASS		0.0102169561128783	0.031317441403367	True	True	True	positive regulation of double-strand break repair	100	26	3	97	2.37626305535869	0.593812951102312	1.21241105764472	3.54011505307267	10.7646008900972	3.3615798524322	34.4708849439474	6.28882127585959e-05	0.0074063472936324	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	0.004399560043995601	0.4359564043595641	3	3.2481517238237863	0.002997002997002997	0.347524815609922	0.006099390060993901	0.28656617096911	Firth_only
