gene	IUIS_flag	SFARI_R0_highconf_flag	CoreSeed_flag	R0_group
PTPRC	True	True	True	Overlap_raw
PDCD1	True	True	True	Overlap_raw
TOP2B	True	True	True	Overlap_raw
TET2	True	True	True	Overlap_raw
LRBA	True	True	True	Overlap_raw
ERBIN	True	True	True	Overlap_raw
C4B	True	True	False	Overlap_raw
CARD11	True	True	True	Overlap_raw
ACTB	True	True	True	Overlap_raw
PIK3CG	True	True	True	Overlap_raw
PRKDC	True	True	True	Overlap_raw
MCM4	True	True	True	Overlap_raw
CHD7	True	True	True	Overlap_raw
VPS13B	True	True	True	Overlap_raw
DOCK8	True	True	True	Overlap_raw
PAX5	True	True	True	Overlap_raw
PTEN	True	True	True	Overlap_raw
KMT2A	True	True	True	Overlap_raw
SRPRA	True	True	True	Overlap_raw
BRCA2	True	True	True	Overlap_raw
SLC7A7	True	True	True	Overlap_raw
NSMCE3	True	True	True	Overlap_raw
CORO1A	True	True	True	Overlap_raw
PSMD12	True	True	True	Overlap_raw
ADA	True	True	True	Overlap_raw
KDM6A	True	True	True	Overlap_raw
