source	pathway_id	pathway_name	pathway_size	raw26_n	raw26_pathway_n	nonraw26_pathway_n	beta_Firth	SE_Firth	logCI95L	logCI95U	OR_Firth	CI95L	CI95U	P_Firth	q_Firth	fit_status	converged	solver_attempt	solver_type	iterations	prob01_warning	warning	enriched_flag	depleted_flag	P_emp	q_emp	observed_driver_n	T_obs_logOR	P_emp_1k	q_emp_1k	P_emp_K20	q_emp_K20	tier_class
GO_BP	GO:1902969	mitotic DNA replication	14	26	2	12	4.68347775651458	0.776777808337248	3.16102122818362	6.20593428484554	108.145523127755	23.5946791810903	495.681847708657	1.6460406643339502e-09	8.97092162062e-06	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	2	4.894361535574586	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0046649	lymphocyte activation	387	26	9	378	2.32184930162307	0.454117170503977	1.43179600267404	3.2119026005721	10.1945096077925	4.18621089034201	24.8262758054414	3.17273866893792e-07	0.0003280888231167	PASS	True	A_ASMEAN_RA05	AS_mean	38	False		True	False	9.999000099990002e-05	0.016513500165135003	9	3.27407464800614	0.000999000999000999	0.1396039857578319	0.00019998000199980003	0.011121336845907246	Tier1
GO_BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	18	26	1	17	4.72387131737659	0.93723029139684	2.8869337010188	6.56080893373437	112.603333197488	17.938221236512	706.843252739921	4.64933588586682e-07	0.0003280888231167	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	3.8118256084918882	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0006310	DNA recombination	215	26	5	210	2.47278214081282	0.491264698869623	1.50992102415244	3.43564325747319	11.8553843606882	4.52637330602976	31.0513801750331	4.81598272464919e-07	0.0003280888231167	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	0.00029997000299970003	0.04541212545412125	5	3.071632451510236	0.000999000999000999	0.1396039857578319	0.00029997000299970003	0.016513500165135	Tier1
GO_BP	GO:0006613	cotranslational protein targeting to membrane	22	26	1	21	4.48574529683808	0.915904858651047	2.69060476061678	6.28088583305938	88.7430660987085	14.7405877523493	534.261720964594	9.70090601038121e-07	0.0005352518377466	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	3.60030841993266	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0042098	T cell proliferation	20	26	2	18	3.70459964499918	0.756783798201909	2.22133065644001	5.18786863355835	40.6337761244958	9.21959081507542	179.086447029281	9.82113463755268e-07	0.0005352518377466	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	2	4.488584350068695	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0046651	lymphocyte proliferation	42	26	3	39	3.01901884075089	0.651936502293278	1.74124677604905	4.29679090545273	20.4711963238173	5.70445116395468	73.463663178728	3.64171169196048e-06	0.0015267175939372	PASS	True	A_ASMEAN_RA05	AS_mean	38	False		True	False	0.00029997000299970003	0.04541212545412125	3	4.162326145866882	0.000999000999000999	0.1396039857578319	0.0008999100089991	0.04855950048559501	Tier1
GO_BP	GO:0032943	mononuclear cell proliferation	43	26	3	40	2.98963187723551	0.649603853886056	1.71643171940042	4.2628320350706	19.8783634663847	5.56463681030675	71.0108040420193	4.17974145089915e-06	0.0016271136362428	PASS	True	A_ASMEAN_RA05	AS_mean	39	False		True	False	0.00029997000299970003	0.04541212545412125	3	4.13695625861794	0.000999000999000999	0.1396039857578319	0.0008999100089991	0.04855950048559501	Tier1
GO_BP	GO:0015820	L-leucine transport	11	26	1	10	4.48351201030886	0.977884749219269	2.56689312080811	6.40013089980961	88.5450985460442	13.0252934978288	601.923824429415	4.54185486324901e-06	0.0016502072669804	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.342817921448601	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0034497	protein localization to phagophore assembly site	16	26	1	15	4.14849889461887	0.910819997238698	2.36332450363215	5.93367328560559	63.3388506116492	10.6262197012329	377.538777627508	5.24639394531345e-06	0.0017870529376223	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	3.9370927826553506	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0045321	leukocyte activation	493	26	9	484	2.0558806165328	0.457841114453351	1.15852852156255	2.95323271150305	7.81371573106888	3.18524280988977	19.1678177049448	7.10961964804343e-06	0.0022792604165786	PASS	True	A_ASMEAN_RA05	AS_mean	39	False		True	False	9.999000099990002e-05	0.016513500165135003	9	3.021248621623713	0.000999000999000999	0.1396039857578319	0.00019998000199980003	0.011121336845907246	Tier1
GO_BP	GO:0009113	purine nucleobase biosynthetic process	10	26	1	9	4.21923659587033	0.964648608699912	2.32856006508183	6.10991312665883	67.9815670659901	10.2631526162373	450.299594438075	1.22069472544532e-05	0.0028925157624682	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.448230435130514	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0042110	T cell activation	255	26	6	249	2.10119226663183	0.498582355718599	1.12398880609624	3.07839572716742	8.17591197087573	3.07710372666852	21.7235239670912	2.50517009752455e-05	0.0047079920798306	PASS	True	A_ASMEAN_RA05	AS_mean	39	False		True	False	9.999000099990002e-05	0.016513500165135003	6	3.1303474160588056	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0009155	purine deoxyribonucleotide catabolic process	13	26	1	12	3.85239572177716	0.929088848617345	2.03141504004938	5.67337640350494	47.105780502237	7.62486822250247	291.015463083856	3.37709120909602e-05	0.0052652903438877	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.160392360494386	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0000730	DNA recombinase assembly	10	26	1	9	3.97398588759098	0.9952689821497	2.02329452764773	5.92467724753423	53.1961426739944	7.56320110869632	374.157655564411	6.52766378097687e-05	0.0074063472936324	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.448230435130514	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0090735	DNA repair complex assembly	10	26	1	9	3.97398588759098	0.9952689821497	2.02329452764773	5.92467724753423	53.1961426739944	7.56320110869632	374.157655564411	6.52766378097687e-05	0.0074063472936324	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.448230435130514	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0006167	AMP biosynthetic process	13	26	1	12	3.75382358323538	0.944367999885113	1.90289631530844	5.60475085116233	42.6839761175004	6.70528697058492	271.714219718238	7.03915372872494e-05	0.0074063472936324	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.160392360494386	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0045003	double-strand break repair via synthesis-dependent strand annealing	14	26	1	13	3.76070104049221	0.949843588536944	1.89904181601352	5.6223602649709	42.9785451205863	6.67949119352449	276.541324356116	7.51746281389313e-05	0.0075870689510588	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.080297646684114	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0006177	GMP biosynthetic process	15	26	1	14	3.67003086659568	0.930577593103892	1.84613229929208	5.49392943389928	39.2531174517111	6.33526915148021	243.211013271286	8.01937363686933e-05	0.0078045689858817	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.006137665688877	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0009169	purine ribonucleoside monophosphate catabolic process	12	26	1	11	3.59422061795766	0.931722155043876	1.76807875047362	5.4203624854417	36.3873293024867	5.85958481545306	225.96101523709	0.0001145011961824	0.0093963615667212	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.247455740916254	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0009128	purine nucleoside monophosphate catabolic process	13	26	1	12	3.56597572677243	0.925787714571842	1.75146514888197	5.38048630466288	35.3739518828968	5.76304020529158	217.127840035637	0.000117239006704	0.0093963615667212	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.160392360494386	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0072710	response to hydroxyurea	10	26	1	9	3.86478376434379	1.00530918248377	1.89441397334819	5.83515355533939	47.6929583994417	6.64865097607532	342.117263949623	0.0001208609158314	0.0094098855897321	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.448230435130514	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	19	26	1	18	3.38352930258791	0.911540200220002	1.59694333969628	5.17011526547954	29.474612587994	4.93791580176035	175.935115560825	0.000205724215992	0.0139957867556379	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	3.754615174988495	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0032261	purine nucleotide salvage	20	26	1	19	3.29838626092949	0.903730606574535	1.52710682031687	5.06966570154212	27.0689214796855	4.60483491651628	159.121124504441	0.0002625007691604	0.01625714990823	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	3.7004959313485886	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0046128	purine ribonucleoside metabolic process	25	26	1	24	3.2688826417143	0.899443168372794	1.50600642556303	5.03175885786557	26.281956568843	4.50868900751878	153.20223682198	0.0002786927143802	0.0168681205542631	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	3.466620927716281	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0009127	purine nucleoside monophosphate biosynthetic process	22	26	1	21	3.26876281087412	0.900084738210845	1.5046291409467	5.03289648080154	26.2788073685953	4.50248353384158	153.376622374125	0.0002816511872363	0.0168681205542631	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	3.60030841993266	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0006144	purine nucleobase metabolic process	16	26	1	15	3.36456080426473	0.930136899371552	1.54152598080473	5.18759562772473	28.9207926205545	4.67171377999027	179.037562057764	0.0002977211233502	0.0170269912694331	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	3.9370927826553506	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0043101	purine-containing compound salvage	23	26	1	22	3.23262004282061	0.895457659887539	1.47755527976052	4.9876848058807	25.3459775982199	4.38221927457534	146.596630647087	0.0003061734209916	0.0170269912694331	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	3.553736373807888	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0042278	purine nucleoside metabolic process	30	26	1	29	3.16464196595234	0.88423991988052	1.43156356929393	4.89772036261074	23.6802641740506	4.18523798826677	133.983996352153	0.0003449901356766	0.0186158043508676	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	3.27711870793004	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
