HGNC_id	HGNC_symbol	gencode_gene_id	gencode_gene_name	chr	start	end	strand	gene_status	gene_length_bp	log_gene_length	A_bp	C_bp	G_bp	T_bp	N_bp	other_bp	ACGT_bp	GC_fraction	GC_z	IUIS_flag	SFARI_R0_highconf_flag	SFARI_R1_highconf_flag	CoreSeed_flag	R0_group	GO_BP_degree	Reactome_degree	annotation_degree	annotation_degree_log1p	annotation_degree_log1p_z	mapping_method
HGNC:14825	OR4F5	ENSG00000186092	OR4F5	chr1	69091	70008	+	KNOWN	918	6.822197390620491	212	218	175	313	0	0	918	0.42810457516339867	-0.49950038453571277	0	0	0	0	Background	6	1	7	2.0794415416798357	-0.10359990840061446	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
HGNC:31275	OR4F29	ENSG00000235249	OR4F29	chr1	367640	368634	+	KNOWN	995	6.902742737158593	215	254	201	325	0	0	995	0.457286432160804	-0.13179858091055335	0	0	0	0	Background	0	1	1	0.6931471805599453	-1.1093821197028577	EXACT_APPROVED_FALLBACK
HGNC:15079	OR4F16	ENSG00000185097	OR4F16	chr1	621059	622053	-	KNOWN	995	6.902742737158593	325	201	254	215	0	0	995	0.457286432160804	-0.13179858091055335	0	0	0	0	Background	6	1	7	2.0794415416798357	-0.10359990840061446	EXACT_APPROVED_FALLBACK
HGNC:28706	SAMD11	ENSG00000187634	SAMD11	chr1	860260	879955	+	KNOWN	19696	9.888170848424235	3263	6054	6943	3436	0	0	19696	0.6598801787164906	2.420954865120244	0	1	1	0	ASD_only	16	0	16	2.833213344056216	0.4432754821902792	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
HGNC:24517	NOC2L	ENSG00000188976	NOC2L	chr1	879584	894689	-	KNOWN	15106	9.622847294873393	3358	4991	4004	2753	0	0	15106	0.5954587581093606	1.6092219945410031	0	0	0	0	Background	28	1	29	3.4011973816621555	0.8553584115806797	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
HGNC:24023	KLHL17	ENSG00000187961	KLHL17	chr1	895967	901095	+	KNOWN	5129	8.542665987389269	740	1746	1735	908	0	0	5129	0.6786898030805225	2.6579628391083707	0	0	0	0	Background	1	0	1	0.6931471805599453	-1.1093821197028577	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
HGNC:25284	PLEKHN1	ENSG00000187583	PLEKHN1	chr1	901877	911245	+	KNOWN	9369	9.145161645951188	1706	2805	3065	1793	0	0	9369	0.6265343152951222	2.0007850957815205	0	0	0	0	Background	15	0	15	2.772588722239781	0.3992911972505073	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
HGNC:28208	PERM1	ENSG00000187642	C1orf170	chr1	910579	917497	-	KNOWN	6919	8.842026529498812	1171	2721	1965	1062	0	0	6919	0.6772655007949125	2.6400161224421628	0	0	0	0	Background	2	1	3	1.3862943611198906	-0.6064910140517361	ENSEMBL_PRIMARY+NO_EXACT_APPROVED
HGNC:24149	HES4	ENSG00000188290	HES4	chr1	934342	935552	-	KNOWN	1211	7.099201743553092	144	450	450	167	0	0	1211	0.7431874483897605	3.47065616811383	0	0	0	0	Background	3	0	3	1.3862943611198906	-0.6064910140517361	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
HGNC:4053	ISG15	ENSG00000187608	ISG15	chr1	948803	949920	+	KNOWN	1118	7.0192966537150445	212	325	397	184	0	0	1118	0.6457960644007156	2.243490002728729	1	0	0	0	IEI_only	54	10	64	4.174387269895637	1.4163219827776277	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
HGNC:329	AGRN	ENSG00000188157	AGRN	chr1	955503	991496	+	KNOWN	35994	10.491107536881149	5552	11085	12566	6791	0	0	35994	0.6570817358448631	2.385693487088993	0	0	0	0	Background	38	21	59	4.0943445622221	1.3582495172318012	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
HGNC:40020	RNF223	ENSG00000237330	RNF223	chr1	1006346	1009687	-	KNOWN	3342	8.114324709155339	545	1046	1141	610	0	0	3342	0.6543985637342908	2.351884561749462	0	0	0	0	Background	0	0	0	0.0	-1.6122732253539795	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
HGNC:26062	C1orf159	ENSG00000131591	C1orf159	chr1	1017198	1051741	-	KNOWN	34544	10.449989152754588	7706	9897	8982	7959	0	0	34544	0.5465203798054655	0.9925809778150096	0	0	0	0	Background	0	0	0	0.0	-1.6122732253539795	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
HGNC:26693	TTLL10	ENSG00000162571	TTLL10	chr1	1109264	1133315	+	KNOWN	24052	10.08797343215946	4924	6779	6390	5959	0	0	24052	0.5475220355895559	1.005202197857804	0	0	0	0	Background	1	1	2	1.0986122886681096	-0.8152096809507505	ENSEMBL_PRIMARY+EXACT_APPROVED_CONCORDANT
